Timestamp; Request; Recovered
66161;1000;1000;NaN;NaN;NaN;NaN;
66677;1000;1000;NaN;NaN;NaN;NaN;
67191;1000;628;NaN;NaN;NaN;NaN;
68217;1000;999;NaN;NaN;NaN;NaN;
69233;1000;342;NaN;NaN;NaN;NaN;
69733;1000;494;NaN;NaN;NaN;NaN;
70747;1000;932;NaN;NaN;NaN;NaN;
71758;1000;1000;NaN;NaN;NaN;NaN;
72274;1000;1000;NaN;NaN;NaN;NaN;
72772;1000;539;NaN;NaN;NaN;NaN;
73283;1000;554;NaN;NaN;NaN;NaN;
74296;1000;771;NaN;NaN;NaN;NaN;
74796;1000;606;NaN;NaN;NaN;NaN;
75865;1000;1000;NaN;NaN;NaN;NaN;
76375;1000;1000;NaN;NaN;NaN;NaN;
76881;1000;828;NaN;NaN;NaN;NaN;
77383;1000;985;NaN;NaN;NaN;NaN;
77885;1000;425;NaN;NaN;NaN;NaN;
78900;1000;580;NaN;NaN;NaN;NaN;
79414;1000;981;NaN;NaN;NaN;NaN;
79916;1000;852;NaN;NaN;NaN;NaN;
80922;1000;390;NaN;NaN;NaN;NaN;
81930;1000;591;NaN;NaN;NaN;NaN;
82430;1000;1000;NaN;NaN;NaN;NaN;
82945;1000;826;NaN;NaN;NaN;NaN;
83449;1000;533;NaN;NaN;NaN;NaN;
84452;1000;1000;NaN;NaN;NaN;NaN;
84966;1000;667;NaN;NaN;NaN;NaN;
85480;1000;362;NaN;NaN;NaN;NaN;
86480;1000;688;NaN;NaN;NaN;NaN;
86995;1000;666;NaN;NaN;NaN;NaN;
88023;1000;686;NaN;NaN;NaN;NaN;
88538;1000;876;NaN;NaN;NaN;NaN;
89052;1000;363;NaN;NaN;NaN;NaN;
90055;1000;590;NaN;NaN;NaN;NaN;
90570;1000;679;NaN;NaN;NaN;NaN;
91084;1000;359;NaN;NaN;NaN;NaN;
92100;1000;1000;NaN;NaN;NaN;NaN;
92599;1000;296;NaN;NaN;NaN;NaN;
93115;1000;1000;NaN;NaN;NaN;NaN;
93630;1000;248;NaN;NaN;NaN;NaN;
94146;1000;991;NaN;NaN;NaN;NaN;
94647;1000;372;NaN;NaN;NaN;NaN;
95162;1000;806;NaN;NaN;NaN;NaN;
95678;1000;1000;NaN;NaN;NaN;NaN;
96190;1000;304;NaN;NaN;NaN;NaN;
96705;1000;1000;NaN;NaN;NaN;NaN;
97218;1000;470;NaN;NaN;NaN;NaN;
97729;1000;825;NaN;NaN;NaN;NaN;
98245;1000;576;NaN;NaN;NaN;NaN;
98746;1000;518;NaN;NaN;NaN;NaN;
99259;1000;667;NaN;NaN;NaN;NaN;
100275;1000;1000;NaN;NaN;NaN;NaN;
100789;1000;326;NaN;NaN;NaN;NaN;
101289;1000;525;NaN;NaN;NaN;NaN;
102320;1000;1000;NaN;NaN;NaN;NaN;
102835;1000;557;NaN;NaN;NaN;NaN;
103334;1000;725;NaN;NaN;NaN;NaN;
104350;1000;728;NaN;NaN;NaN;NaN;
104853;1000;532;NaN;NaN;NaN;NaN;
105370;1000;734;NaN;NaN;NaN;NaN;
105882;1000;1000;NaN;NaN;NaN;NaN;
106393;1000;1000;NaN;NaN;NaN;NaN;
106894;1000;124;NaN;NaN;NaN;NaN;
107396;1000;398;NaN;NaN;NaN;NaN;
107911;1000;879;NaN;NaN;NaN;NaN;
108425;1000;765;NaN;NaN;NaN;NaN;
109456;1000;652;NaN;NaN;NaN;NaN;
110470;1000;710;NaN;NaN;NaN;NaN;
111473;1000;715;NaN;NaN;NaN;NaN;
111979;1000;1000;NaN;NaN;NaN;NaN;
112491;1000;70;NaN;NaN;NaN;NaN;
113008;1000;1000;NaN;NaN;NaN;NaN;
113521;1000;1000;NaN;NaN;NaN;NaN;
114024;1000;1000;NaN;NaN;NaN;NaN;
114539;1000;1000;NaN;NaN;NaN;NaN;
115052;1000;1000;NaN;NaN;NaN;NaN;
115566;1000;1000;NaN;NaN;NaN;NaN;
116069;1000;364;NaN;NaN;NaN;NaN;
116572;1000;1000;NaN;NaN;NaN;NaN;
117082;1000;763;NaN;NaN;NaN;NaN;
117593;1000;1000;NaN;NaN;NaN;NaN;
118107;1000;800;NaN;NaN;NaN;NaN;
118607;1000;1000;NaN;NaN;NaN;NaN;
119110;1000;624;NaN;NaN;NaN;NaN;
120121;1000;1000;NaN;NaN;NaN;NaN;
120636;1000;613;NaN;NaN;NaN;NaN;
121649;1000;733;NaN;NaN;NaN;NaN;
122186;1000;379;NaN;NaN;NaN;NaN;
122681;1000;940;NaN;NaN;NaN;NaN;
123693;1000;799;NaN;NaN;NaN;NaN;
124193;1000;917;NaN;NaN;NaN;NaN;
125221;1000;1000;NaN;NaN;NaN;NaN;
125730;1000;435;NaN;NaN;NaN;NaN;
126231;1000;1000;NaN;NaN;NaN;NaN;
126733;1000;1000;NaN;NaN;NaN;NaN;
127247;1000;832;NaN;NaN;NaN;NaN;
128245;1000;765;NaN;NaN;NaN;NaN;
128758;1000;883;NaN;NaN;NaN;NaN;
129271;1000;1000;NaN;NaN;NaN;NaN;
129787;1000;1000;NaN;NaN;NaN;NaN;
130286;1000;884;NaN;NaN;NaN;NaN;
130799;1000;956;NaN;NaN;NaN;NaN;
