Timestamp;  Q1; Q2; Q3; Q4; Q Expirados
79916;40;101;127;15324;;7858
80838;40;101;127;15099;;8083
80924;23;37;61;14636;;8083
81831;23;37;61;14636;;8083
81932;23;61;86;14178;;8083
82432;63;164;232;14889;;8083
82833;63;164;232;14889;;8083
82946;42;76;130;14926;;8083
83450;70;126;209;15302;;8083
83860;70;126;209;14711;;8674
84453;43;92;167;14814;;8674
84841;43;92;167;14814;;8674
84967;31;68;98;14586;;8674
85480;46;107;137;14855;;8674
85859;46;107;137;14679;;8850
86481;38;58;130;14431;;8850
86862;38;58;130;14289;;8992
86996;30;68;97;13986;;8992
87865;30;68;97;13986;;8992
88024;35;89;96;13647;;8992
88539;78;186;232;14247;;8992
88878;78;186;232;14247;;8992
89053;13;43;61;13989;;8992
89881;13;43;61;13989;;8992
90056;23;45;101;13527;;8992
90572;72;108;210;13985;;8992
90894;72;108;210;13985;;8992
91085;21;23;48;13642;;8992
91909;21;23;48;13642;;8992
92101;64;98;131;13441;;8992
92600;79;128;187;13636;;8992
92911;79;128;187;13636;;8992
93116;45;101;136;13748;;8992
93630;59;127;171;13921;;8992
93925;59;127;171;13921;;8992
94147;45;91;160;13973;;8992
94648;72;129;212;14228;;8992
94925;72;129;212;14228;;8992
95163;30;68;116;14233;;8992
95679;73;170;241;14963;;8992
95941;73;170;241;14576;;9379
96191;12;32;45;14275;;9379
96706;73;145;201;14945;;9379
96942;73;145;201;14770;;9554
97219;22;36;74;14527;;9554
97730;68;118;196;15102;;9554
97962;68;118;196;14716;;9940
98246;35;48;98;14493;;9940
98747;69;124;155;14844;;9940
98946;69;124;155;14844;;9940
99260;25;71;93;14670;;9940
99977;25;71;93;14270;;10340
100276;39;98;140;14182;;10340
100790;58;122;180;14425;;10340
100974;58;122;180;14425;;10340
101289;32;46;88;14144;;10340
101989;32;46;88;14144;;10340
102321;67;111;116;14016;;10340
102836;94;169;209;14395;;10340
103004;94;169;209;14395;;10340
103335;43;69;107;14373;;10340
104018;43;69;107;14373;;10340
104351;34;81;92;14113;;10340
104854;58;136;163;14495;;10340
105024;58;136;163;14495;;10340
105371;46;71;109;14360;;10340
105883;89;171;247;15079;;10340
106034;89;171;247;15079;;10340
106394;46;96;157;15287;;10340
106895;53;107;179;15371;;10340
107050;53;107;179;15371;;10340
107397;18;34;70;14986;;10340
107913;69;129;205;15584;;10340
108065;69;129;205;15584;;10340
108425;35;96;113;15508;;10340
109080;35;96;113;15459;;10389
109457;28;70;110;15147;;10389
110080;28;70;110;15147;;10389
110471;38;65;94;14868;;10389
111082;38;65;94;14868;;10389
111473;45;75;107;14553;;10389
111980;108;180;237;15255;;10389
112087;108;180;237;15255;;10389
112492;3;7;10;14830;;10389
113009;50;100;148;15552;;10389
113104;50;100;148;15439;;10502
113522;47;104;161;15425;;10502
114025;99;205;326;16107;;10502
114099;99;205;326;16107;;10502
114541;42;104;146;16445;;10502
115054;109;186;309;17133;;10502
115135;109;186;309;16663;;10972
115567;49;80;165;16973;;10972
116070;60;124;214;17233;;10972
116137;60;124;214;16684;;11521
116574;60;90;151;16781;;11521
117082;98;162;268;17317;;11521
117152;98;162;268;16911;;11927
117594;54;86;158;17141;;11927
118108;105;170;269;17695;;11927
118156;105;170;269;17197;;12425
118608;54;106;132;17449;;12425
119111;77;175;224;17889;;12425
119158;77;175;224;17516;;12798
120122;53;118;159;17662;;12798
120149;53;118;159;17662;;12798
120637;37;69;92;17407;;12798
121149;37;69;92;17407;;12798
121650;32;85;106;17115;;12798
122185;32;85;106;16701;;13212
122186;44;124;162;16973;;13212
122683;54;94;116;16979;;13212
123174;54;94;116;16979;;13212
123694;41;90;131;16780;;13212
124176;41;90;131;16780;;13212
124194;84;182;265;17428;;13212
125190;0;0;0;16917;;13254
125221;59;86;136;17636;;13254
125731;76;135;55;17086;;13254
126228;76;135;55;16446;;13894
126232;118;250;194;17150;;13894
126733;52;104;150;17406;;13894
127213;52;104;150;17406;;13894
127248;39;189;291;17973;;13894
128227;39;0;0;17505;;13894
128245;74;73;115;18047;;13894
128759;52;67;131;17942;;13894
129239;52;67;131;17942;;13894
129272;47;167;281;18645;;13894
129788;87;112;149;18844;;13894
130262;87;112;149;18636;;14102
130287;41;80;287;19261;;14102
130800;96;183;146;19399;;14102
131264;96;183;146;19399;;14102
131299;29;50;224;19765;;14102
131811;51;95;67;19533;;14102
132287;51;95;67;19304;;14331
132828;60;102;130;19225;;14331
133311;60;102;130;18876;;14680
133326;43;203;289;19573;;14680
133842;100;101;151;19816;;14680
134391;100;101;151;18211;;16285
134395;50;106;294;18895;;16285
135326;50;106;0;18215;;16460
135413;29;56;79;17792;;16460
135913;76;150;261;18469;;16460
136353;76;150;261;18035;;16894
136432;38;104;146;18234;;16894
136942;84;212;284;18942;;16894
137347;84;212;284;18913;;16923
137461;40;112;148;19193;;16923
137973;76;178;269;19676;;16923
138401;76;178;269;18408;;18191
138473;52;80;142;18604;;18191
139368;52;80;142;18365;;18430
139502;25;59;80;17987;;18430
140016;69;144;197;18543;;18430
140371;69;144;197;18543;;18430
140514;16;34;53;18209;;18430
141018;56;119;191;18946;;18430
141386;56;119;191;18667;;18709
141517;32;61;80;18490;;18709
142031;47;93;133;18721;;18709
142373;47;93;133;18721;;18709
142534;18;34;62;18275;;18709
143047;46;82;125;18603;;18709
143394;46;82;125;18479;;18833
144064;17;69;70;18103;;18833
144388;17;69;70;18103;;18833
144575;30;48;82;17646;;18833
145406;30;48;82;17556;;18923
145592;35;83;110;17246;;18923
146106;60;142;195;17644;;18923
146430;60;142;195;17317;;19250
146605;32;70;99;17151;;19250
147122;81;158;242;17792;;19250
147440;81;158;242;17597;;19445
147632;39;80;110;17586;;19445
148134;63;144;196;17955;;19445
148441;63;144;196;17932;;19468
148647;31;85;109;17919;;19468
149160;57;122;168;18268;;19468
149502;57;122;168;17028;;20708
149672;48;84;134;17016;;20708
150499;48;84;134;16194;;21530
150687;42;93;116;16090;;21530
151201;94;197;251;16799;;21530
151464;94;197;251;16799;;21530
151714;19;36;65;16580;;21530
152226;61;104;174;17121;;21530
152475;61;104;174;17121;;21530
152741;41;61;122;16989;;21530
153242;66;110;216;17348;;21530
153518;66;110;216;16691;;22187
153756;24;39;59;16387;;22187
154257;37;71;100;16623;;22187
154503;37;71;100;16330;;22480
155272;43;89;122;16152;;22480
155502;43;89;122;16152;;22480
155786;19;36;48;15636;;22480
156300;49;93;128;16024;;22480
156568;49;93;128;14537;;23967
156812;41;82;98;14329;;23967
157314;86;183;235;15046;;23967
157515;86;183;235;15046;;23967
157826;13;24;25;14670;;23967
158341;38;62;90;14923;;23967
158530;38;62;90;14800;;24090
158842;25;50;56;14306;;24090
159343;61;111;136;14716;;24090
159526;61;111;136;14716;;24090
159841;27;43;67;14330;;24090
160356;57;127;179;14876;;24090
160540;57;127;179;14876;;24090
160870;38;94;148;14959;;24090
161381;104;191;301;15643;;24090
161558;104;191;301;15428;;24305
161900;47;116;131;15730;;24305
162411;65;155;194;15987;;24305
162568;65;155;194;15879;;24413
163413;51;105;145;15928;;24413
163572;51;105;145;15815;;24526
163912;25;75;96;15576;;24526
164413;79;182;249;16262;;24526
164570;79;182;249;16262;;24526
164921;59;96;138;16479;;24526
165422;83;155;219;16848;;24526
165578;83;155;219;16848;;24526
165923;36;69;118;16814;;24526
166440;88;150;256;17375;;24526
166592;88;150;256;17355;;24546
167466;20;38;51;17124;;24546
167620;0;38;51;16481;;25189
167969;24;34;54;15847;;25189
168482;73;131;203;16540;;25189
168608;73;131;203;16478;;25251
168998;41;110;157;16577;;25251
169510;74;167;251;17032;;25251
169637;74;167;251;16635;;25648
170022;19;26;54;16328;;25648
170528;68;130;198;17031;;25648
170635;68;130;198;16909;;25770
171025;3;8;9;16389;;25770
171535;18;43;49;16630;;25770
171657;18;43;49;16286;;26114
172048;26;63;111;15808;;26114
172560;72;122;211;16264;;26114
172660;72;122;211;16084;;26294
173072;33;59;112;16010;;26294
173586;77;147;234;16614;;26294
173663;77;147;234;16546;;26362
174598;73;94;157;16680;;26362
174673;73;94;157;16680;;26362
175111;19;56;76;16364;;26362
175614;74;158;210;17057;;26362
175688;74;158;210;17057;;26362
176641;48;104;135;17147;;26362
176711;48;104;135;16933;;26576
177155;30;58;85;16579;;26576
177653;63;119;194;17074;;26576
177721;63;119;194;16950;;26700
178168;22;30;62;16559;;26700
178728;22;30;62;16559;;26700
179183;13;31;39;15891;;26700
179698;43;79;89;16176;;26700
179743;43;79;89;16176;;26700
180719;42;81;133;16029;;26700
180757;42;81;133;15632;;27097
181743;34;55;102;15372;;27097
181763;34;55;102;14857;;27612
182258;31;56;82;14447;;27612
182755;31;56;82;14447;;27612
182760;64;121;187;14879;;27612
183260;55;103;153;14940;;27612
183755;55;103;153;14940;;27612
183760;109;196;321;15625;;27612
184271;46;90;157;15958;;27612
184809;46;90;157;14920;;28650
184813;46;175;315;15490;;28650
185316;86;106;142;15647;;28650
185791;86;106;142;15351;;28946
185826;44;84;103;15139;;28946
186344;88;185;243;15854;;28946
186789;88;185;243;15854;;28946
186855;57;106;147;16060;;28946
187357;92;215;276;16787;;28946
187794;92;215;276;16787;;28946
187863;57;87;165;17061;;28946
188362;111;184;296;17779;;28946
188831;111;184;296;17075;;29650
188874;22;31;53;16941;;29650
189829;22;31;53;16487;;30104
189906;56;86;155;16296;;30104
190419;86;136;226;16663;;30104
190821;86;136;226;16663;;30104
191445;34;58;85;16576;;30104
191830;34;58;85;16576;;30104
192458;24;85;100;16255;;30104
192850;24;85;100;16107;;30252
192974;60;105;146;16005;;30252
193487;67;121;173;16138;;30252
193854;67;121;173;16138;;30252
193998;12;44;65;15785;;30252
194513;44;130;216;16414;;30252
194876;44;130;216;16204;;30462
