Timestamp; Priority1;Priority2;Priority3;Priority4;Total read
150453;9274;18621;27395;92430;147720;
151466;9322;18705;27529;93164;148720;
152480;9416;18902;27780;93622;149720;
153489;9477;19006;27954;94283;150720;
154503;9543;19116;28170;94891;151720;
155507;9580;19187;28270;95683;152720;
156520;9623;19276;28392;96429;153720;
157529;9672;19369;28520;97159;154720;
158545;9758;19552;28755;97655;155720;
159543;9796;19614;28845;98465;156720;
160545;9857;19725;28981;99157;157720;
161556;9914;19852;29160;99794;158720;
162570;10018;20043;29461;100198;159720;
163583;10083;20198;29655;100784;160720;
164585;10134;20303;29800;101483;161720;
165590;10213;20485;30049;101973;162720;
166595;10296;20640;30268;102516;163720;
167610;10384;20790;30524;103022;164720;
168628;10404;20828;30575;103913;165720;
169638;10477;20959;30778;104506;166720;
170645;10551;21126;31029;105014;167720;
171652;10619;21256;31227;105618;168720;
172658;10637;21299;31276;106508;169720;
173667;10709;21421;31487;107103;170720;
174676;10786;21568;31721;107645;171720;
175690;10859;21662;31878;108321;172720;
176689;10933;21820;32088;108879;173720;
177701;10981;21924;32223;109592;174720;
178717;11044;22043;32417;110216;175720;
179730;11066;22073;32479;111102;176720;
180731;11109;22152;32568;111891;177720;
181733;11151;22233;32701;112635;178720;
182746;11185;22288;32803;113444;179720;
183757;11249;22409;32990;114072;180720;
184772;11358;22605;33311;114446;181720;
185784;11404;22780;33626;114910;182720;
186794;11490;22886;33768;115576;183720;
187809;11578;23071;34011;116060;184720;
188817;11670;23286;34287;116477;185720;
189829;11781;23470;34583;116886;186720;
190842;11803;23501;34636;117780;187720;
191853;11889;23637;34862;118332;188720;
192867;11923;23695;34947;119155;189720;
193879;11947;23780;35047;119946;190720;
194886;12014;23901;35220;120585;191720;
195899;12058;24031;35436;121195;192720;
196911;12078;24086;35517;122039;193720;
197921;12102;24132;35608;122878;194720;
198937;12126;24167;35661;123766;195720;
199946;12188;24290;35804;124438;196720;
200946;12228;24361;35911;125220;197720;
201955;12265;24442;36014;125999;198720;
202963;12342;24607;36211;126560;199720;
203979;12388;24694;36338;127300;200720;
204987;12451;24834;36541;127894;201720;
205995;12477;24886;36606;128751;202720;
207009;12516;24970;36730;129504;203720;
208016;12622;25157;37018;129923;204720;
209026;12661;25267;37150;130642;205720;
210041;12722;25398;37362;131238;206720;
211051;12817;25622;37655;131626;207720;
212051;12889;25777;37892;132162;208720;
213053;12983;25956;38167;132614;209720;
214065;13032;26075;38302;133311;210720;
215077;13076;26197;38493;133954;211720;
216091;13130;26293;38626;134671;212720;
217108;13153;26355;38706;135506;213720;
218117;13192;26437;38832;136259;214720;
219130;13216;26489;38914;137101;215720;
220143;13271;26617;39091;137741;216720;
221159;13334;26772;39261;138353;217720;
222171;13400;26930;39524;138866;218720;
223170;13500;27105;39820;139295;219720;
224173;13581;27261;40121;139757;220720;
225189;13643;27346;40250;140481;221720;
226202;13681;27429;40373;141237;222720;
227214;13731;27538;40508;141943;223720;
228226;13766;27637;40612;142705;224720;
229231;13816;27742;40826;143336;225720;
230239;13895;27901;41114;143810;226720;
231253;13958;28031;41284;144447;227720;
232265;14004;28144;41488;145084;228720;
233275;14071;28210;41705;145734;229720;
234288;14131;28352;41896;146341;230720;
235302;14174;28442;42072;147032;231720;
236310;14272;28636;42373;147439;232720;
237327;14369;28856;42541;147954;233720;
238339;14405;29022;42766;148527;234720;
239355;14486;29079;42854;149301;235720;
240366;14512;29128;42919;150161;236720;
241375;14551;29186;43107;150876;237720;
242386;14585;29268;43148;151719;238720;
243398;14602;29307;43340;152471;239720;
244394;14694;29614;43624;152788;240720;
245411;14794;29830;43922;153174;241720;
246422;14887;29930;44110;153793;242720;
247434;14963;30076;44340;154341;243720;
248446;15024;30207;44605;154884;244720;
249461;15115;30417;44768;155420;245720;
250475;15196;30624;45066;155834;246720;
251473;15299;30811;45346;156264;247720;
252483;15394;31013;45634;156679;248720;
253490;15431;31088;45753;157448;249720;
254502;15471;31185;45907;158157;250720;
255513;15501;31247;46004;158968;251720;
256524;15612;31431;46307;159370;252720;
257539;15662;31568;46499;159991;253720;
258550;15703;31629;46603;160785;254720;
259561;15747;31703;46732;161538;255720;
260574;15817;31867;46947;162089;256720;
261588;15873;31979;47111;162757;257720;
262602;15920;32086;47245;163469;258720;
263617;16003;32265;47500;163952;259720;
264626;16022;32306;47568;164824;260720;
265637;16064;32398;47720;165538;261720;
266650;16128;32541;47923;166128;262720;
267663;16216;32731;48223;166550;263720;
268665;16318;32913;48527;166962;264720;
269672;16413;33100;48806;167401;265720;
270677;16436;33136;48878;168270;266720;
271677;16439;33150;48894;169237;267720;
272684;16466;33217;48996;170041;268720;
273688;16483;33240;49042;170955;269720;
274700;16488;33248;49061;171923;270720;
275707;16515;33319;49173;172713;271720;
276713;16523;33331;49191;173675;272720;
277718;16532;33353;49219;174616;273720;
278724;16548;33378;49269;175525;274720;
279735;16556;33388;49289;176487;275720;
280751;16574;33435;49357;177354;276720;
281761;16595;33478;49435;178212;277720;
282761;16610;33513;49490;179107;278720;
283773;16628;33542;49542;180008;279720;
284787;16639;33562;49560;180959;280720;
285790;16641;33574;49583;181922;281720;
286794;16642;33582;49595;182901;282720;
287809;16645;33598;49622;183855;283720;
288820;16653;33617;49647;184803;284720;
289833;16668;33643;49692;185717;285720;
290837;16679;33660;49722;186659;286720;
291844;16688;33673;49753;187606;287720;
292862;16694;33686;49771;188569;288720;
293871;16708;33711;49821;189480;289720;
294884;16723;33738;49850;190409;290720;
295889;16738;33756;49888;191338;291720;
296903;16745;33777;49904;192294;292720;
297911;16764;33815;49948;193193;293720;
298921;16793;33864;50009;194054;294720;
299933;16803;33889;50042;194986;295720;
300937;16819;33926;50083;195892;296720;
301939;16820;33931;50102;196867;297720;
302941;16831;33951;50129;197809;298720;
303954;16837;33956;50138;198789;299720;
304968;16839;33969;50156;199756;300720;
305970;16854;33989;50193;200684;301720;
306969;16863;34005;50219;201633;302720;
307982;16867;34016;50233;202604;303720;
308995;16891;34067;50301;203461;304720;
310005;16899;34088;50329;204404;305720;
311017;16899;34105;50354;205362;306720;
312031;16910;34105;50376;206329;307720;
313043;16926;34132;50418;207244;308720;
314057;16934;34143;50448;208195;309720;
315065;16963;34203;50490;209064;310720;
316077;16967;34224;50541;209988;311720;
317089;16988;34257;50553;210922;312720;
318102;16993;34262;50570;211895;313720;
319112;17007;34289;50617;212807;314720;
320124;17012;34299;50632;213777;315720;
321124;17021;34318;50660;214721;316720;
322125;17043;34356;50721;215600;317720;
323127;17054;34364;50742;216560;318720;
324136;17067;34384;50771;217498;319720;
325146;17075;34390;50782;218473;320720;
326160;17090;34425;50819;219386;321720;
327178;17104;34449;50880;220287;322720;
328190;17129;34486;50937;221168;323720;
329192;17150;34509;50978;222083;324720;
330207;17156;34538;51010;223016;325720;
331208;17168;34555;51035;223962;326720;
332222;17173;34568;51056;224923;327720;
333237;17182;34592;51079;225867;328720;
334248;17191;34612;51109;226808;329720;
335262;17206;34633;51147;227734;330720;
336270;17210;34645;51170;228695;331720;
337282;17222;34688;51231;229579;332720;
338294;17227;34701;51251;230541;333720;
339306;17251;34748;51314;231407;334720;
340320;17274;34786;51392;232268;335720;
341334;17289;34817;51429;233185;336720;
342339;17297;34837;51452;234134;337720;
343353;17305;34846;51475;235094;338720;
344354;17318;34881;51517;236004;339720;
345365;17330;34913;51558;236919;340720;
346372;17335;34922;51568;237895;341720;
347381;17361;34987;51677;238695;342720;
348395;17366;34996;51692;239666;343720;
349409;17382;35037;51743;240558;344720;
350422;17392;35052;51771;241505;345720;
351433;17424;35114;51857;242325;346720;
352447;17447;35162;51913;243198;347720;
353448;17457;35179;51925;244159;348720;
354462;17470;35205;51962;245083;349720;
355473;17484;35243;52005;245400;350132;
356488;17490;35262;52029;245514;350295;
357503;17496;35269;52050;245628;350443;
358518;17508;35288;52073;245754;350623;
359520;17517;35310;52096;245872;350795;
360526;17535;35363;52175;246199;351272;
361535;17555;35395;52212;246444;351606;
362542;17571;35421;52251;246624;351867;
363557;17586;35450;52295;246823;352154;
364570;17591;35467;52320;246930;352308;
365580;17602;35489;52361;247116;352568;
366596;17607;35507;52386;247211;352711;
367610;17618;35542;52432;247448;353040;
368610;17625;35553;52448;247548;353174;
369613;17634;35568;52486;247677;353365;
370622;17638;35595;52538;247931;353702;
371633;17662;35607;52585;248183;354037;
372647;17692;35655;52662;248486;354495;
373658;17704;35687;52696;248617;354704;
374666;17710;35694;52731;248797;354932;
375680;17722;35729;52784;249051;355286;
376693;17744;35756;52842;249354;355696;
377703;17764;35788;52861;249490;355903;
378718;17770;35818;52886;249589;356063;
379733;17778;35839;52935;249825;356377;
380746;17784;35857;52956;249924;356521;
381747;17796;35894;53008;250191;356889;
382760;17803;35912;53023;250244;356982;
383775;17837;35984;53124;250655;357600;
384783;17840;35990;53142;250758;357730;
385783;17847;36000;53142;250758;357747;
386790;17871;36031;53211;251049;358162;
387800;17873;36042;53216;251093;358224;
388819;17880;36053;53231;251172;358336;
389828;17885;36063;53253;251266;358467;
390841;17892;36079;53279;251395;358645;
391857;17914;36118;53340;251642;359014;
392867;17929;36155;53397;251877;359358;
393881;17938;36170;53414;251989;359511;
394882;17956;36189;53456;252160;359761;
395883;17973;36234;53524;252482;360213;
396895;17981;36245;53540;252604;360370;
397909;18004;36280;53582;252807;360673;
398921;18015;36290;53608;252891;360804;
399937;18028;36310;53636;253040;361014;
400948;18033;36328;53655;253165;361181;
401962;18047;36354;53690;253329;361420;
402969;18063;36375;53742;253484;361664;
403986;18075;36399;53786;253706;361966;
404997;18086;36417;53820;253819;362142;
406007;18091;36436;53838;253942;362307;
407024;18107;36470;53913;254229;362719;
408032;18112;36475;53925;254284;362796;
409045;18126;36495;53971;254448;363040;
410051;18131;36501;53990;254502;363124;
411065;18154;36535;54047;254764;363500;
412076;18158;36540;54061;254834;363593;
413087;18163;36557;54073;254908;363701;
414098;18176;36575;54101;255030;363882;
415114;18178;36582;54110;255082;363952;
416114;18182;36587;54122;255137;364028;
417128;18199;36622;54170;255333;364324;
418139;18218;36653;54205;255568;364644;
419153;18229;36669;54232;255703;364833;
420167;18237;36695;54279;255921;365132;
421170;18243;36708;54294;255978;365223;
422173;18265;36731;54336;256193;365525;
423186;18287;36773;54383;256454;365897;
424188;18296;36789;54415;256575;366075;
425202;18301;36804;54431;256696;366232;
426212;18312;36834;54477;256919;366542;
427222;18327;36862;54524;257121;366834;
428238;18333;36892;54567;257322;367114;
429252;18344;36911;54606;257456;367317;
430262;18349;36924;54636;257617;367526;
431273;18352;36934;54645;257708;367639;
432286;18365;36976;54697;257893;367931;
433298;18386;37007;54742;258122;368257;
434311;18394;37018;54794;258347;368553;
435322;18399;37023;54814;258471;368707;
436335;18407;37060;54850;258594;368911;
437346;18423;37068;54900;258782;369173;
438358;18432;37086;54954;258978;369450;
439370;18461;37124;54988;259129;369702;
440379;18474;37147;55006;259189;369816;
441381;18486;37168;55039;259368;370061;
442386;18488;37204;55065;259518;370275;
443388;18508;37244;55133;259829;370714;
444400;18522;37250;55194;260131;371097;
445410;18544;37294;55203;260181;371222;
446422;18549;37307;55236;260344;371436;
447438;18553;37318;55271;260499;371641;
448448;18566;37334;55301;260611;371812;
449460;18583;37366;55335;260796;372080;
450459;18591;37400;55365;260938;372294;
451474;18608;37428;55403;261129;372568;
452486;18615;37455;55424;261476;372970;
453489;18630;37494;55471;261476;373071;
454502;18631;37501;55488;261542;373162;
455515;18653;37538;55541;261795;373527;
456527;18668;37573;55590;262013;373844;
457540;18697;37612;55653;262298;374260;
458550;18702;37622;55664;262389;374377;
459562;18715;37653;55713;262593;374674;
460575;18732;37691;55757;262869;375049;
461580;18742;37708;55782;262963;375195;
462582;18763;37738;55828;263224;375553;
463595;18768;37743;55842;263263;375616;
464604;18775;37757;55862;263348;375742;
465607;18792;37783;55895;263545;376015;
466612;18801;37796;55913;263651;376161;
467620;18815;37815;55941;263828;376399;
