Timestamp; Orders ; Extracted; Remaining
414;1000;0;0
1379;1000;1000;0
2385;1000;1000;0
3395;1000;1000;0
4404;1000;1000;0
5414;1000;1000;0
6418;1000;1000;0
7432;1000;1000;0
8439;1000;1000;0
9440;1000;1000;0
10442;1000;1000;0
11444;1000;1000;0
12445;1000;1000;0
13448;1000;1000;0
14462;1000;1000;0
15476;1000;1000;0
16490;1000;1000;0
17501;1000;1000;0
18514;1000;1000;0
19515;1000;1000;0
20518;1000;1000;0
21529;1000;1000;0
22540;1000;1000;0
23552;1000;1000;0
24557;1000;1000;0
25567;1000;1000;0
26572;1000;1000;0
27579;1000;1000;0
28583;1000;1000;0
29590;1000;1000;0
30600;1000;1000;0
31609;1000;1000;0
32612;1000;1000;0
33620;1000;1000;0
34624;1000;1000;0
35629;1000;1000;0
36640;1000;1000;0
37647;1000;1000;0
38655;1000;1000;0
39661;1000;1000;0
40666;1000;1000;0
41678;1000;1000;0
42684;1000;1000;0
43695;1000;1000;0
44710;1000;1000;0
45723;1000;1000;0
46737;1000;1000;0
47751;1000;1000;0
48765;1000;1000;0
49774;1000;1000;0
50775;1000;1000;0
51777;1000;1000;0
52789;1000;1000;0
53791;1000;1000;0
54802;1000;1000;0
55809;1000;1000;0
56824;1000;1000;0
57839;1000;1000;0
58848;1000;1000;0
59855;1000;1000;0
60859;1000;1000;0
61869;1000;1000;0
62880;1000;1000;0
63893;1000;1000;0
64900;1000;1000;0
65906;1000;1000;0
66912;1000;1000;0
67917;1000;1000;0
68930;1000;1000;0
69945;1000;1000;0
70946;1000;1000;0
71945;1000;1000;0
72955;1000;1000;0
73956;1000;1000;0
74967;1000;1000;0
75977;1000;1000;0
76989;1000;1000;0
78004;1000;1000;0
79005;1000;1000;0
80008;1000;1000;0
81016;1000;1000;0
82023;1000;1000;0
83036;1000;1000;0
84042;1000;1000;0
85047;1000;1000;0
86054;1000;1000;0
87057;1000;1000;0
88061;1000;1000;0
89066;1000;1000;0
90073;1000;1000;0
91081;1000;1000;0
92095;1000;1000;0
93099;1000;1000;0
94100;1000;1000;0
95112;1000;1000;0
96112;1000;1000;0
97114;1000;1000;0
98121;1000;1000;0
99129;1000;1000;0
100129;1000;1000;0
101144;1000;1000;0
102156;1000;347;0
103165;1000;0;0
104178;1000;0;0
105190;1000;0;0
106204;1000;0;0
107207;1000;0;0
108209;1000;0;0
109221;1000;0;0
110234;1000;0;0
111247;1000;0;0
112248;1000;0;0
113259;1000;0;0
114272;1000;0;0
115285;1000;0;0
116286;1000;0;0
117291;1000;0;0
118292;1000;0;0
119299;1000;0;0
120306;1000;0;0
121317;1000;0;0
122324;1000;0;0
123329;1000;0;0
124341;1000;0;0
125352;1000;0;0
126365;1000;0;0
127369;1000;0;0
128370;1000;0;0
129377;1000;0;0
130385;1000;0;0
131397;1000;0;0
132412;1000;0;0
133425;1000;0;0
134429;1000;0;0
135428;1000;0;0
136441;1000;0;0
137455;1000;0;0
138459;1000;0;0
139469;1000;0;0
140468;1000;0;0
141479;1000;0;0
142493;1000;0;0
143503;1000;0;0
144516;1000;0;0
145528;1000;0;0
146529;1000;0;0
147532;1000;0;0
148545;1000;0;0
149549;1000;0;0
150556;1000;0;0
151566;1000;0;0
152571;1000;0;0
153579;1000;0;0
154588;1000;0;0
155591;1000;0;0
156602;1000;0;0
157611;1000;0;0
158619;1000;0;0
159634;1000;0;0
160641;1000;0;0
161644;1000;0;0
162644;1000;0;0
163659;1000;0;0
164671;1000;0;0
165682;1000;0;0
166697;1000;0;0
167709;1000;0;0
168723;1000;0;0
169737;1000;0;0
170752;1000;0;0
171763;1000;0;0
172776;1000;0;0
173786;1000;0;0
174800;1000;0;0
175816;1000;0;0
176817;1000;0;0
177826;1000;0;0
178832;1000;0;0
179840;1000;0;0
180841;1000;0;0
181853;1000;0;0
182862;1000;0;0
183873;1000;0;0
184886;1000;0;0
185894;1000;0;0
186899;1000;0;0
187903;1000;0;0
188908;1000;0;0
189917;1000;0;0
190921;1000;0;0
191933;1000;0;0
192946;1000;0;0
193957;1000;0;0
194957;1000;0;0
195968;1000;0;0
196967;1000;0;0
197979;1000;0;0
198993;1000;0;0
200007;1000;0;0
201020;1000;0;0
202029;1000;0;0
203039;1000;0;0
204054;1000;0;0
205068;1000;0;0
206072;1000;0;0
207071;1000;0;0
208083;1000;0;0
209090;1000;0;0
210098;1000;0;0
211107;1000;0;0
212119;1000;0;0
213126;1000;0;0
214138;1000;0;0
215152;1000;0;0
216159;1000;0;0
217167;1000;0;0
218179;1000;0;0
219182;1000;0;0
220193;1000;0;0
221194;1000;0;0
222206;1000;0;0
223216;1000;0;0
224219;1000;0;0
225227;1000;0;0
226234;1000;0;0
227236;1000;0;0
228240;1000;0;0
229251;1000;0;0
230252;1000;0;0
231262;1000;0;0
232273;1000;0;0
233286;1000;0;0
234295;1000;0;0
235296;1000;0;0
236304;1000;0;0
237312;1000;0;0
238324;1000;0;0
239329;1000;0;0
240337;1000;0;0
241348;1000;0;0
242354;1000;0;0
243367;1000;0;0
244376;1000;0;0
245384;1000;0;0
246390;1000;0;0
247398;1000;0;0
248410;1000;0;0
249418;1000;0;0
250420;1000;0;0
251428;1000;0;0
252442;1000;0;0
253455;1000;0;0
254464;1000;0;0
255467;1000;0;0
256473;1000;0;0
257478;1000;0;0
258484;1000;0;0
259494;1000;0;0
260504;1000;0;0
261515;1000;0;0
262519;1000;0;0
263526;1000;0;0
264536;1000;0;0
265549;1000;0;0
266565;1000;0;0
267579;1000;0;0
268591;1000;0;0
269592;1000;0;0
270592;1000;0;0
271596;1000;0;0
272605;1000;0;0
273616;1000;0;0
274627;1000;0;0
275635;1000;0;0
276644;1000;0;0
277651;1000;0;0
278663;1000;0;0
279669;1000;0;0
280677;1000;0;0
281686;1000;0;0
282702;1000;0;0
283711;1000;0;0
284717;1000;0;0
285731;1000;0;0
286734;1000;0;0
287737;1000;0;0
288749;1000;0;0
289754;1000;0;0
290767;1000;0;0
291779;1000;0;0
292785;1000;0;0
293788;1000;0;0
294793;1000;0;0
295804;1000;0;0
296804;1000;0;0
297813;1000;0;0
298818;1000;0;0
299821;1000;0;0
