Timestamp; Shipment; Messages generated in shipment; Queue lenght; Next shipment; Total produced
114351;223;0;0;934;100347
115286;224;0;0;704;100347
116005;225;0;0;310;100347
116318;226;0;0;171;100347
116490;227;0;0;218;100347
116712;228;0;0;468;100347
117196;229;0;0;297;100347
117494;230;0;0;258;100347
117761;231;0;0;514;100347
118291;232;0;0;890;100347
119189;233;0;0;559;100347
119756;234;0;0;454;100347
120213;235;0;0;975;100347
121189;236;0;0;921;100347
122119;237;0;0;152;100347
122276;238;0;0;193;100347
122480;239;0;0;180;100347
122668;240;0;0;503;100347
123172;241;0;0;918;100347
124103;242;0;0;657;100347
124767;243;0;0;846;100347
125620;244;0;0;837;100347
126460;245;0;0;908;100347
127370;246;0;0;692;100347
128069;247;0;0;174;100347
128258;248;0;0;333;100347
128604;249;0;0;616;100347
129233;250;0;0;88;100347
129328;251;0;0;717;100347
130054;252;0;0;692;100347
130748;253;0;0;228;100347
130980;254;0;0;3;100347
130996;255;0;0;507;100347
131507;256;0;0;422;100347
131934;257;0;0;676;100347
132617;258;0;0;996;100347
133628;259;0;0;772;100347
134412;260;0;0;308;100347
134724;261;0;0;271;100347
135005;262;0;0;911;100347
135926;263;0;0;833;100347
136770;264;0;0;334;100347
137113;265;0;0;682;100347
137802;266;0;0;423;100347
138238;267;0;0;399;100347
138647;268;0;0;801;100347
139453;269;0;0;951;100347
140405;270;0;0;340;100347
140748;271;0;0;150;100347
140906;272;0;0;754;100347
141666;273;0;0;720;100347
142400;274;0;0;504;100347
142913;275;0;0;182;100347
143099;276;0;0;88;100347
143193;277;0;0;801;100347
144002;278;0;0;645;100347
144657;279;0;0;855;100347
145525;280;0;0;854;100347
146392;281;0;0;84;100347
146485;282;0;0;477;100347
146966;283;0;0;462;100347
147438;284;0;0;500;100347
147954;285;0;0;34;100347
148001;286;0;0;577;100347
148593;287;0;0;960;100347
149565;288;0;0;915;100347
150493;289;0;0;11;100347
150509;290;0;0;956;100347
151472;291;0;0;809;100347
152288;292;0;0;862;100347
153153;293;0;0;458;100347
153626;294;0;0;873;100347
154509;295;0;0;131;100347
154652;296;0;0;739;100347
155402;297;0;0;633;100347
156048;298;0;0;64;100347
156127;299;0;0;838;100347
156980;300;0;0;228;100347
157217;301;0;0;42;100347
157263;302;0;0;760;100347
158038;303;0;0;191;100347
158244;304;0;0;399;100347
158650;305;0;0;260;100347
158917;306;0;0;374;100347
159307;307;0;0;379;100347
159696;308;0;0;921;100347
160625;309;0;0;969;100347
161595;310;0;0;691;100347
162287;311;0;0;761;100347
163050;312;0;0;949;100347
164003;313;0;0;921;100347
164936;314;0;0;156;100347
165107;315;0;0;65;100347
165184;316;0;0;539;100347
165729;317;0;0;299;100347
166040;318;0;0;530;100347
166573;319;0;0;130;100347
166714;320;0;0;272;100347
166994;321;0;0;643;100347
167648;322;0;0;928;100347
168584;323;0;0;732;100347
169318;324;0;0;871;100347
170202;325;0;0;581;100347
170797;326;0;0;551;100347
171359;327;0;0;717;100347
172092;328;0;0;805;100347
172901;329;0;0;465;100347
173367;330;0;0;896;100347
174271;331;0;0;463;100347
174739;332;0;0;345;100347
175097;333;0;0;489;100347
175597;334;0;0;573;100347
176176;335;0;0;944;100347
177133;336;0;0;267;100347
177401;337;0;0;147;100347
177557;338;0;0;996;100347
178566;339;0;0;650;100347
179226;340;0;0;907;100347
180136;341;0;0;970;100347
181107;342;0;0;462;100347
181582;343;0;0;884;100347
182482;344;0;0;27;100347
182512;345;0;0;221;100347
182734;346;0;0;723;100347
183461;347;0;0;218;100347
183681;348;0;0;782;100347
184471;349;0;0;375;100347
184851;350;0;0;775;100347
185627;351;0;0;48;100347
185689;352;0;0;241;100347
185941;353;0;0;505;100347
186457;354;0;0;629;100347
187087;355;0;0;386;100347
187481;356;0;0;494;100347
187982;357;0;0;214;100347
188201;358;0;0;931;100347
189141;359;0;0;845;100347
189994;360;0;0;302;100347
190312;361;0;0;718;100347
191031;362;0;0;471;100347
191515;363;0;0;275;100347
191794;364;0;0;669;100347
192464;365;0;0;806;100347
193273;366;0;0;149;100347
193429;367;0;0;656;100347
194098;368;0;0;345;100347
194456;369;0;0;966;100347
195423;370;0;0;575;100347
195999;371;0;0;295;100347
196295;372;0;0;740;100347
197046;373;0;0;333;100347
197389;374;0;0;695;100347
198089;375;0;0;725;100347
198821;376;0;0;419;100347
199244;377;0;0;527;100347
199772;378;0;0;753;100347
200538;379;0;0;441;100347
200990;380;0;0;955;100347
201951;381;0;0;745;100347
202698;382;0;0;530;100347
203242;383;0;0;356;100347
203604;384;0;0;338;100347
203945;385;0;0;312;100347
204273;386;0;0;156;100347
204444;387;0;0;448;100347
204897;388;0;0;591;100347
205492;389;0;0;236;100347
205741;390;0;0;944;100347
206685;391;0;0;45;100347
206745;392;0;0;197;100347
206948;393;0;0;50;100347
207010;394;0;0;45;100347
207056;395;0;0;199;100347
207258;396;0;0;464;100347
207724;397;0;0;912;100347
208648;398;0;0;609;100347
209262;399;0;0;622;100347
209893;400;0;0;469;100347
210367;401;0;0;456;100347
210839;402;0;0;946;100347
211792;403;0;0;12;100347
211808;404;0;0;350;100347
212168;405;0;0;630;100347
212809;406;0;0;556;100347
213376;407;0;0;573;100347
213961;408;0;0;919;100347
214881;409;0;0;19;100347
214912;410;0;0;223;100347
215151;411;0;0;675;100347
215826;412;0;0;686;100347
216520;413;0;0;356;100347
216882;414;0;0;162;100347
217053;415;0;0;240;100347
217308;416;0;0;209;100347
217530;417;0;0;609;100347
218145;418;0;0;69;100347
218224;419;0;0;595;100347
218823;420;0;0;119;100347
218948;421;0;0;839;100347
219797;422;0;0;800;100347
220603;423;0;0;820;100347
221428;424;0;0;214;100347
221645;425;0;0;113;100347
221770;426;0;0;362;100347
222143;427;0;0;187;100347
222332;428;0;0;685;100347
223032;429;0;0;256;100347
223296;430;0;0;642;100347
223951;431;0;0;723;100347
224677;432;0;0;617;100347
225306;433;0;0;404;100347
225715;434;0;0;692;100347
226421;435;0;0;948;100347
227376;436;0;0;641;100347
228024;437;0;0;389;100347
228427;438;0;0;338;100347
228770;439;0;0;436;100347
229221;440;0;0;251;100347
229486;441;0;0;685;100347
230173;442;0;0;623;100347
230797;443;0;0;498;100347
231308;444;0;0;506;100347
231824;445;0;0;781;100347
232616;446;0;0;597;100347
233223;447;0;0;66;100347
233301;448;0;0;940;100347
234251;449;0;0;630;100347
234890;450;0;0;432;100347
235328;451;0;0;832;100347
236162;452;0;0;251;100347
236414;453;0;0;414;100347
236838;454;0;0;391;100347
237233;455;0;0;320;100347
237563;456;0;0;286;100347
237859;457;0;0;802;100347
238669;458;0;0;377;100347
239062;459;0;0;492;100347
239565;460;0;0;925;100347
240495;461;0;0;324;100347
240828;462;0;0;806;100347
241646;463;0;0;606;100347
242262;464;0;0;388;100347
242654;465;0;0;798;100347
243462;466;0;0;167;100347
243634;467;0;0;130;100347
243776;468;0;0;993;100347
244772;469;0;0;551;100347
245337;470;0;0;372;100347
245715;471;0;0;709;100347
246438;472;0;0;891;100347
247336;473;0;0;399;100347
247747;474;0;0;194;100347
247951;475;0;0;696;100347
248647;476;0;0;218;100347
248866;477;0;0;25;100347
248898;478;0;0;36;100347
248946;479;0;0;937;100347
249891;480;0;0;996;100347
250893;481;0;0;996;100347
