Timestamp; P1 ; PowerPriority1; msgPerPriority1; Real reads (remaining)1; Real receibed1; P2 ; PowerPriority2; msgPerPriority2; Real reads (remaining)2; Real receibed2; P3 ; PowerPriority3; msgPerPriority3; Real reads (remaining)3; Real receibed3; P4 ; PowerPriority4; msgPerPriority4; Real reads (remaining)4; Real receibed4;  Expired; Request; Read; Remaining final
53453;1;1;533;533;97;2;0.5;267;703;236;3;0.25;133;600;317;4;0.125;67;350;350;0;0;0;0
54469;1;1;533;533;86;2;0.5;267;714;172;3;0.25;133;675;251;4;0.125;67;491;491;0;0;0;0
55475;1;1;533;533;75;2;0.5;267;725;156;3;0.25;133;702;228;4;0.125;67;541;541;0;0;0;0
56484;1;1;533;533;50;2;0.5;267;750;98;3;0.25;133;785;131;4;0.125;67;721;721;0;0;0;0
57488;1;1;533;533;63;2;0.5;267;737;129;3;0.25;133;741;183;4;0.125;67;625;625;0;0;0;0
58494;1;1;533;533;34;2;0.5;267;766;65;3;0.25;133;834;103;4;0.125;67;798;798;0;0;0;0
59498;1;1;533;533;84;2;0.5;267;716;198;3;0.25;133;651;285;4;0.125;67;433;433;0;0;0;0
60502;1;1;533;533;72;2;0.5;267;728;161;3;0.25;133;700;229;4;0.125;67;538;538;0;0;0;0
61514;1;1;533;533;37;2;0.5;267;763;96;3;0.25;133;800;105;4;0.125;67;762;762;0;0;0;0
62525;1;1;533;533;75;2;0.5;267;725;119;3;0.25;133;739;202;4;0.125;67;604;604;0;0;0;0
63543;1;1;533;533;52;2;0.5;267;748;77;3;0.25;133;804;135;4;0.125;67;736;736;0;0;0;0
64545;1;1;533;533;70;2;0.5;267;730;160;3;0.25;133;703;239;4;0.125;67;531;531;0;0;0;0
65550;1;1;533;533;102;2;0.5;267;698;192;3;0.25;133;639;317;4;0.125;67;389;389;0;0;0;0
66561;1;1;533;533;93;2;0.5;267;707;186;3;0.25;133;654;253;4;0.125;67;468;468;0;0;0;0
67566;1;1;533;533;53;2;0.5;267;747;137;3;0.25;133;743;220;4;0.125;67;590;590;0;0;0;0
68566;1;1;533;533;94;2;0.5;267;706;199;3;0.25;133;640;269;4;0.125;67;438;438;0;0;0;0
69584;1;1;533;533;73;2;0.5;267;727;151;3;0.25;133;709;245;4;0.125;67;531;531;0;0;0;0
70581;1;1;533;533;53;2;0.5;267;747;102;3;0.25;133;778;151;4;0.125;67;694;694;0;0;0;0
71592;1;1;533;533;64;2;0.5;267;736;115;3;0.25;133;754;180;4;0.125;67;641;641;0;0;0;0
72626;1;1;533;533;66;2;0.5;267;734;150;3;0.25;133;717;223;4;0.125;67;561;561;0;0;0;0
73636;1;1;533;533;27;2;0.5;267;773;64;3;0.25;133;842;115;4;0.125;67;794;794;0;0;0;0
74619;1;1;533;533;81;2;0.5;267;719;151;3;0.25;133;701;231;4;0.125;67;537;537;0;0;0;0
75631;1;1;533;533;113;2;0.5;267;687;195;3;0.25;133;625;301;4;0.125;67;391;391;0;0;0;0
76654;1;1;533;533;100;2;0.5;267;700;221;3;0.25;133;612;284;4;0.125;67;395;395;0;0;0;0
77693;1;1;533;533;93;2;0.5;267;707;190;3;0.25;133;650;287;4;0.125;67;430;430;0;0;0;0
78666;1;1;533;533;63;2;0.5;267;737;131;3;0.25;133;739;203;4;0.125;67;603;603;0;0;0;0
79678;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;1000;0;0;0;0
80676;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;1000;0;0;0;0
81683;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;1000;0;0;0;0
82700;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;1000;0;0;0;0
83700;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;1000;0;0;0;0
84708;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;1000;0;0;0;0
85712;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;1000;0;0;0;0
86721;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;1000;0;0;0;0
87721;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;1000;0;0;0;0
88729;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;1000;0;0;0;0
89736;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;1000;0;0;0;0
90745;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;1000;0;0;0;0
91743;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;1000;0;0;0;0
92745;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;1000;0;0;0;0
93747;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;1000;0;0;0;0
94759;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;1000;0;0;0;0
95773;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;1000;0;0;0;0
96793;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;560;NaN
97798;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
98801;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
99834;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
100810;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
101822;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
102827;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
103843;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
104854;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
105867;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
106884;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
107887;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
108901;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
109902;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
110911;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
111925;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
112938;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
113949;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
114964;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
115978;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
116983;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
117983;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
118991;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
120001;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
121006;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
122017;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
123020;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
124031;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
125042;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
126057;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
127064;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
128077;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
129082;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
130093;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
131095;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
132096;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
133103;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
134105;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
135107;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
136118;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
137119;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
138132;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
139145;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
140147;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
141161;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
142171;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
143181;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
144194;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
145202;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
146209;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
147226;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
148225;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
149229;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
150233;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
151242;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
152246;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
153253;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
154264;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
155268;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
156278;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
157285;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
158296;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
159295;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
160298;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
161305;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
162308;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
163323;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
164334;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
165345;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
166359;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
167374;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
168384;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
169398;1;1;533;533;0;2;0.5;267;800;0;3;0.25;133;933;0;4;0.125;67;1000;0;NaN
