Timestamp; Request; Recovered
66781;1000;805;NaN;NaN;NaN;NaN;
67283;1000;605;NaN;NaN;NaN;NaN;
67786;1000;874;NaN;NaN;NaN;NaN;
68288;1000;1000;NaN;NaN;NaN;NaN;
68785;1000;485;NaN;NaN;NaN;NaN;
69288;1000;1000;NaN;NaN;NaN;NaN;
69801;1000;957;NaN;NaN;NaN;NaN;
70817;1000;654;NaN;NaN;NaN;NaN;
71328;1000;564;NaN;NaN;NaN;NaN;
71833;1000;527;NaN;NaN;NaN;NaN;
72342;1000;1000;NaN;NaN;NaN;NaN;
72856;1000;11;undefined;NaN;NaN;NaN;
73372;1000;686;NaN;NaN;NaN;NaN;
73874;1000;498;NaN;NaN;NaN;NaN;
74388;1000;973;NaN;NaN;NaN;NaN;
74903;1000;1000;NaN;NaN;NaN;NaN;
75403;1000;1000;NaN;NaN;NaN;NaN;
75913;1000;1000;NaN;NaN;NaN;NaN;
76425;1000;1000;NaN;NaN;NaN;NaN;
76939;1000;1000;NaN;NaN;NaN;NaN;
77438;1000;1000;NaN;NaN;NaN;NaN;
77940;1000;1000;NaN;NaN;NaN;NaN;
78440;1000;238;NaN;NaN;NaN;NaN;
