Timestamp;  Q1; Q2; Q3; Q4; Q Expirados
78654;63;131;203;20133;;2817
79678;0;0;0;18863;;3484
80663;0;0;0;17863;;3484
81673;0;0;0;16863;;3484
82681;0;0;0;15863;;3484
83689;0;0;0;14863;;3484
84694;0;0;0;13863;;3484
85702;0;0;0;12863;;3484
86706;0;0;0;11863;;3484
87710;0;0;0;10863;;3484
88716;0;0;0;9836;;3511
89724;0;0;0;8791;;3556
90731;0;0;0;7791;;3556
91732;0;0;0;6791;;3556
92733;0;0;0;5791;;3556
93734;0;0;0;4791;;3556
94746;0;0;0;3791;;3556
95760;0;0;0;2791;;3556
96778;0;0;0;560;;4787
97785;0;0;0;0;;4347
98789;0;0;0;0;;3347
99795;0;0;0;0;;2347
100795;0;0;0;0;;1347
101809;0;0;0;0;;347
102817;0;0;0;0;;0
103829;0;0;0;0;;0
104842;0;0;0;0;;0
105856;0;0;0;0;;0
106855;0;0;0;0;;0
107860;0;0;0;0;;0
108861;0;0;0;0;;0
109874;0;0;0;0;;0
110883;0;0;0;0;;0
111897;0;0;0;0;;0
112912;0;0;0;0;;0
113922;0;0;0;0;;0
114937;0;0;0;0;;0
115951;0;0;0;0;;0
116954;0;0;0;0;;0
117956;0;0;0;0;;0
118962;0;0;0;0;;0
119972;0;0;0;0;;0
120977;0;0;0;0;;0
121988;0;0;0;0;;0
122993;0;0;0;0;;0
124001;0;0;0;0;;0
125015;0;0;0;0;;0
126028;0;0;0;0;;0
127036;0;0;0;0;;0
128048;0;0;0;0;;0
129054;0;0;0;0;;0
130064;0;0;0;0;;0
131066;0;0;0;0;;0
132081;0;0;0;0;;0
133092;0;0;0;0;;0
134094;0;0;0;0;;0
135094;0;0;0;0;;0
136106;0;0;0;0;;0
137107;0;0;0;0;;0
138122;0;0;0;0;;0
139133;0;0;0;0;;0
140134;0;0;0;0;;0
141149;0;0;0;0;;0
142159;0;0;0;0;;0
143171;0;0;0;0;;0
144181;0;0;0;0;;0
145191;0;0;0;0;;0
146199;0;0;0;0;;0
147211;0;0;0;0;;0
148212;0;0;0;0;;0
149214;0;0;0;0;;0
150219;0;0;0;0;;0
151231;0;0;0;0;;0
152235;0;0;0;0;;0
153241;0;0;0;0;;0
154251;0;0;0;0;;0
155254;0;0;0;0;;0
156264;0;0;0;0;;0
157273;0;0;0;0;;0
158285;0;0;0;0;;0
159284;0;0;0;0;;0
160286;0;0;0;0;;0
161290;0;0;0;0;;0
162295;0;0;0;0;;0
163310;0;0;0;0;;0
164323;0;0;0;0;;0
165334;0;0;0;0;;0
166347;0;0;0;0;;0
167347;0;0;0;0;;0
168357;0;0;0;0;;0
169371;0;0;0;0;;0
170383;0;0;0;0;;0
171384;0;0;0;0;;0
172397;0;0;0;0;;0
173407;0;0;0;0;;0
174420;0;0;0;0;;0
175434;0;0;0;0;;0
176434;0;0;0;0;;0
177440;0;0;0;0;;0
178449;0;0;0;0;;0
179454;0;0;0;0;;0
180456;0;0;0;0;;0
