Timestamp; P1 ; PowerPriority; msgPerPriority; Reales Leidos (remainint); Reales recibidos;  P2 ; PowerPriority; msgPerPriority; Reales Leidos (remainint); Reales recibidos; P3 ; PowerPriority; msgPerPriority; Reales Leidos (remainint); Reales recibidos; P4 ; PowerPriority; msgPerPriority; Reales Leidos (remainint); Reales recibidos; Expirados; Solicitados; Leidos; Remaining final
7443;1;1;427;427;33;2;0.5;213;607;81;3;0.25;107;633;115;4;0.125;53;571;571;0;0;0;0
7552;1;1;427;427;47;2;0.5;213;593;103;3;0.25;107;597;123;4;0.125;53;527;527;0;0;0;0
7659;1;1;427;427;40;2;0.5;213;600;84;3;0.25;107;623;127;4;0.125;53;549;549;0;0;0;0
7768;1;1;427;427;50;2;0.5;213;590;73;3;0.25;107;624;106;4;0.125;53;571;571;0;0;0;0
7876;1;1;427;427;49;2;0.5;213;591;85;3;0.25;107;613;118;4;0.125;53;548;548;0;0;0;0
7984;1;1;427;427;39;2;0.5;213;601;83;3;0.25;107;625;129;4;0.125;53;549;549;0;0;0;0
8094;1;1;427;427;44;2;0.5;213;596;77;3;0.25;107;626;133;4;0.125;53;546;546;0;0;0;0
8203;1;1;427;427;30;2;0.5;213;610;90;3;0.25;107;627;120;4;0.125;53;560;560;0;0;0;0
8314;1;1;427;427;47;2;0.5;213;593;88;3;0.25;107;612;127;4;0.125;53;538;538;0;0;0;0
8421;1;1;427;427;36;2;0.5;213;604;94;3;0.25;107;617;109;4;0.125;53;561;561;0;0;0;0
8529;1;1;427;427;37;2;0.5;213;603;89;3;0.25;107;621;107;4;0.125;53;567;567;0;0;0;0
8640;1;1;427;427;27;2;0.5;213;613;78;3;0.25;107;642;117;4;0.125;53;578;578;0;0;0;0
8748;1;1;427;427;38;2;0.5;213;602;88;3;0.25;107;621;133;4;0.125;53;541;541;0;0;0;0
8855;1;1;427;427;38;2;0.5;213;602;65;3;0.25;107;644;119;4;0.125;53;578;578;0;0;0;0
8964;1;1;427;427;29;2;0.5;213;611;91;3;0.25;107;627;141;4;0.125;53;539;539;0;0;0;0
9073;1;1;427;427;34;2;0.5;213;606;90;3;0.25;107;623;120;4;0.125;53;556;556;0;0;0;0
9183;1;1;427;427;42;2;0.5;213;598;69;3;0.25;107;636;109;4;0.125;53;580;580;0;0;0;0
9292;1;1;427;427;32;2;0.5;213;608;89;3;0.25;107;626;133;4;0.125;53;546;546;0;0;0;0
9403;1;1;427;427;41;2;0.5;213;599;70;3;0.25;107;636;123;4;0.125;53;566;566;0;0;0;0
9512;1;1;427;427;30;2;0.5;213;610;79;3;0.25;107;638;123;4;0.125;53;568;568;0;0;0;0
9622;1;1;427;427;39;2;0.5;213;601;81;3;0.25;107;627;123;4;0.125;53;557;557;0;0;0;0
9727;1;1;427;427;44;2;0.5;213;596;80;3;0.25;107;623;105;4;0.125;53;571;571;0;0;0;0
9833;1;1;427;427;37;2;0.5;213;603;82;3;0.25;107;628;100;4;0.125;53;581;581;0;0;0;0
9943;1;1;427;427;54;2;0.5;213;586;91;3;0.25;107;602;108;4;0.125;53;547;547;0;0;0;0
10051;1;1;427;427;34;2;0.5;213;606;87;3;0.25;107;626;115;4;0.125;53;564;564;0;0;0;0
10161;1;1;427;427;40;2;0.5;213;600;91;3;0.25;107;616;123;4;0.125;53;546;546;0;0;0;0
10272;1;1;427;427;36;2;0.5;213;604;78;3;0.25;107;633;109;4;0.125;53;577;577;0;0;0;0
10381;1;1;427;427;43;2;0.5;213;597;78;3;0.25;107;626;115;4;0.125;53;564;564;0;0;0;0
10484;1;1;427;427;37;2;0.5;213;603;85;3;0.25;107;625;115;4;0.125;53;563;563;0;0;0;0
10596;1;1;427;427;37;2;0.5;213;603;80;3;0.25;107;630;124;4;0.125;53;559;559;0;0;0;0
10703;1;1;427;427;42;2;0.5;213;598;69;3;0.25;107;636;119;4;0.125;53;570;570;0;0;0;0
10812;1;1;427;427;33;2;0.5;213;607;76;3;0.25;107;638;98;4;0.125;53;593;593;0;0;0;0
10918;1;1;427;427;38;2;0.5;213;602;85;3;0.25;107;624;122;4;0.125;53;555;555;0;0;0;0
11031;1;1;427;427;43;2;0.5;213;597;78;3;0.25;107;626;143;4;0.125;53;536;536;0;0;0;0
11140;1;1;427;427;37;2;0.5;213;603;92;3;0.25;107;618;131;4;0.125;53;540;540;0;0;0;0
11247;1;1;427;427;49;2;0.5;213;591;93;3;0.25;107;605;116;4;0.125;53;542;542;0;0;0;0
11359;1;1;427;427;41;2;0.5;213;599;75;3;0.25;107;631;109;4;0.125;53;575;575;0;0;0;0
11466;1;1;427;427;34;2;0.5;213;606;98;3;0.25;107;615;115;4;0.125;53;553;553;0;0;0;0
11579;1;1;427;427;44;2;0.5;213;596;74;3;0.25;107;629;118;4;0.125;53;564;564;0;0;0;0
11686;1;1;427;427;38;2;0.5;213;602;76;3;0.25;107;633;123;4;0.125;53;563;563;0;0;0;0
11794;1;1;427;427;34;2;0.5;213;606;66;3;0.25;107;647;126;4;0.125;53;574;574;0;0;0;0
11902;1;1;427;427;40;2;0.5;213;600;76;3;0.25;107;631;124;4;0.125;53;560;560;0;0;0;0
12012;1;1;427;427;43;2;0.5;213;597;73;3;0.25;107;631;132;4;0.125;53;552;552;0;0;0;0
12119;1;1;427;427;30;2;0.5;213;610;89;3;0.25;107;628;143;4;0.125;53;538;538;0;0;0;0
12231;1;1;427;427;33;2;0.5;213;607;78;3;0.25;107;636;123;4;0.125;53;566;566;0;0;0;0
12337;1;1;427;427;40;2;0.5;213;600;82;3;0.25;107;625;122;4;0.125;53;556;556;0;0;0;0
12443;1;1;427;427;39;2;0.5;213;601;76;3;0.25;107;632;122;4;0.125;53;563;563;0;0;0;0
12551;1;1;427;427;42;2;0.5;213;598;90;3;0.25;107;615;121;4;0.125;53;547;547;0;0;0;0
12662;1;1;427;427;49;2;0.5;213;591;73;3;0.25;107;625;113;4;0.125;53;565;565;0;0;0;0
12774;1;1;427;427;53;2;0.5;213;587;103;3;0.25;107;591;130;4;0.125;53;514;514;0;0;0;0
12880;1;1;427;427;41;2;0.5;213;599;71;3;0.25;107;635;124;4;0.125;53;564;564;0;0;0;0
12991;1;1;427;427;35;2;0.5;213;605;91;3;0.25;107;621;105;4;0.125;53;569;569;0;0;0;0
13100;1;1;427;427;38;2;0.5;213;602;75;3;0.25;107;634;117;4;0.125;53;570;570;0;0;0;0
13210;1;1;427;427;48;2;0.5;213;592;71;3;0.25;107;628;108;4;0.125;53;573;573;0;0;0;0
13316;1;1;427;427;39;2;0.5;213;601;71;3;0.25;107;637;130;4;0.125;53;560;560;0;0;0;0
13428;1;1;427;427;41;2;0.5;213;599;77;3;0.25;107;629;128;4;0.125;53;554;554;0;0;0;0
13536;1;1;427;427;32;2;0.5;213;608;98;3;0.25;107;617;119;4;0.125;53;551;551;0;0;0;0
13648;1;1;427;427;33;2;0.5;213;607;78;3;0.25;107;636;117;4;0.125;53;572;572;0;0;0;0
13751;1;1;427;427;48;2;0.5;213;592;61;3;0.25;107;638;132;4;0.125;53;559;559;0;0;0;0
13861;1;1;427;427;49;2;0.5;213;591;74;3;0.25;107;624;130;4;0.125;53;547;547;0;0;0;0
13967;1;1;427;427;41;2;0.5;213;599;82;3;0.25;107;624;118;4;0.125;53;559;559;0;0;0;0
14079;1;1;427;427;35;2;0.5;213;605;105;3;0.25;107;607;112;4;0.125;53;548;548;0;0;0;0
14183;1;1;427;427;36;2;0.5;213;604;93;3;0.25;107;618;119;4;0.125;53;552;552;0;0;0;0
14292;1;1;427;427;39;2;0.5;213;601;82;3;0.25;107;626;118;4;0.125;53;561;561;0;0;0;0
14403;1;1;427;427;52;2;0.5;213;588;66;3;0.25;107;629;120;4;0.125;53;562;562;0;0;0;0
14511;1;1;427;427;31;2;0.5;213;609;76;3;0.25;107;640;118;4;0.125;53;575;575;0;0;0;0
14621;1;1;427;427;49;2;0.5;213;591;80;3;0.25;107;618;123;4;0.125;53;548;548;0;0;0;0
14728;1;1;427;427;43;2;0.5;213;597;93;3;0.25;107;611;132;4;0.125;53;532;532;0;0;0;0
14838;1;1;427;427;38;2;0.5;213;602;72;3;0.25;107;637;112;4;0.125;53;578;578;0;0;0;0
14945;1;1;427;427;33;2;0.5;213;607;92;3;0.25;107;622;108;4;0.125;53;567;567;0;0;0;0
15054;1;1;427;427;40;2;0.5;213;600;70;3;0.25;107;637;121;4;0.125;53;569;569;0;0;0;0
15164;1;1;427;427;28;2;0.5;213;612;73;3;0.25;107;646;129;4;0.125;53;570;570;0;0;0;0
15271;1;1;427;427;39;2;0.5;213;601;70;3;0.25;107;638;131;4;0.125;53;560;560;0;0;0;0
15377;1;1;427;427;51;2;0.5;213;589;76;3;0.25;107;620;121;4;0.125;53;552;552;0;0;0;0
15483;1;1;427;427;36;2;0.5;213;604;96;3;0.25;107;615;124;4;0.125;53;544;544;0;0;0;0
15593;1;1;427;427;39;2;0.5;213;601;81;3;0.25;107;627;113;4;0.125;53;567;567;0;0;0;0
15702;1;1;427;427;45;2;0.5;213;595;76;3;0.25;107;626;120;4;0.125;53;559;559;0;0;0;0
