Timestamp; Pedidos por  Dispatcher; Leidos por Dispatcher; Cola Leida; Quedan Cola P1; Quedan Cola P2; Quedan Cola P3; Quedan Cola P4, Quedan Cola Expirados
80;427;0;1;0;0;0;0;0
89;640;0;2;0;0;0;0;0
92;747;0;3;0;0;0;0;0
94;800;0;4;0;0;0;0;0
97;800;0;0;0;0;0;0;0
181;427;0;1;0;0;0;0;0
184;640;0;2;0;0;0;0;0
186;747;0;3;0;0;0;0;0
188;800;0;4;0;0;0;0;0
192;800;0;0;0;0;0;0;0
293;427;0;1;0;0;0;0;0
296;640;0;2;0;0;0;0;0
298;747;0;3;0;0;0;0;0
300;800;0;4;0;0;0;0;0
301;800;0;0;0;0;0;0;0
401;427;0;1;0;0;0;0;0
404;640;0;2;0;0;0;0;0
406;747;0;3;0;0;0;0;0
407;800;0;4;0;0;0;0;0
410;800;0;0;0;0;0;0;0
510;427;0;1;0;0;0;0;0
513;640;0;2;0;0;0;0;0
515;747;0;3;0;0;0;0;0
516;800;0;4;0;0;0;0;0
518;800;0;0;0;0;0;0;0
619;427;0;1;0;0;0;0;0
621;640;0;2;0;0;0;0;0
623;747;0;3;0;0;0;0;0
624;800;0;4;0;0;0;0;0
627;800;0;0;0;0;0;0;0
730;427;0;1;0;0;0;0;0
732;640;0;2;0;0;0;0;0
733;747;0;3;0;0;0;0;0
735;800;0;4;0;0;0;0;0
737;800;0;0;0;0;0;0;0
838;427;0;1;0;0;0;0;0
840;640;0;2;0;0;0;0;0
842;747;0;3;0;0;0;0;0
844;800;0;4;0;0;0;0;0
846;800;0;0;0;0;0;0;0
946;427;0;1;0;0;0;0;0
949;640;0;2;0;0;0;0;0
951;747;0;3;0;0;0;0;0
953;800;0;4;0;0;0;0;0
954;800;0;0;0;0;0;0;0
1055;427;0;1;0;0;0;0;0
1057;640;0;2;0;0;0;0;0
1058;747;0;3;0;0;0;0;0
1061;800;0;4;0;0;0;0;0
1062;800;0;0;0;0;0;0;0
1164;427;0;1;0;0;0;0;0
1166;640;0;2;0;0;0;0;0
1168;747;0;3;0;0;0;0;0
1169;800;0;4;0;0;0;0;0
1171;800;0;0;0;0;0;0;0
1274;427;0;1;0;0;0;0;0
1276;640;0;2;0;0;0;0;0
1278;747;0;3;0;0;0;0;0
1280;800;0;4;0;0;0;0;0
1281;800;0;0;0;0;0;0;0
1382;427;0;1;0;0;0;0;0
1384;640;0;2;0;0;0;0;0
1385;747;0;3;0;0;0;0;0
1387;800;0;4;0;0;0;0;0
1388;800;0;0;0;0;0;0;0
1493;427;0;1;0;0;0;0;0
1495;640;0;2;0;0;0;0;0
1498;800;0;4;0;0;0;0;0
1497;747;0;3;0;0;0;0;0
1500;800;0;0;0;0;0;0;0
1602;427;0;1;0;0;0;0;0
1603;640;0;2;0;0;0;0;0
1605;747;0;3;0;0;0;0;0
1606;800;0;4;0;0;0;0;0
1608;800;0;0;0;0;0;0;0
1713;427;0;1;0;0;0;0;0
1714;640;0;2;0;0;0;0;0
1716;747;0;3;0;0;0;0;0
1718;800;0;4;0;0;0;0;0
1719;800;0;0;0;0;0;0;0
1822;427;0;1;0;0;0;0;0
1824;640;0;2;0;0;0;0;0
1826;747;0;3;0;0;0;0;0
1829;800;0;4;0;0;0;0;0
1831;800;0;0;0;0;0;0;0
1934;427;0;1;0;0;0;0;0
1937;640;0;2;0;0;0;0;0
1941;800;0;4;0;0;0;0;0
1939;747;0;3;0;0;0;0;0
1942;800;0;0;0;0;0;0;0
2045;427;0;1;0;0;0;0;0
2047;640;0;2;0;0;0;0;0
2048;747;0;3;0;0;0;0;0
2050;800;0;4;0;0;0;0;0
2051;800;0;0;0;0;0;0;0
2156;427;0;1;0;0;0;0;0
2158;640;0;2;0;0;0;0;0
2159;747;0;3;0;0;0;0;0
2162;800;0;0;0;0;0;0;0
2161;800;0;4;0;0;0;0;0
2266;427;30;1;0;78;127;465;0
2268;610;78;2;0;0;127;465;0
2269;639;127;3;0;0;0;465;0
2271;565;465;4;0;0;0;0;0
2273;100;0;0;0;0;0;0;0
2376;427;29;1;0;32;59;255;0
2377;611;32;2;0;0;59;255;0
2379;686;59;3;0;0;0;255;0
2381;680;255;4;0;0;0;0;0
2382;425;0;0;0;0;0;0;0
2486;427;42;1;0;69;120;569;0
2487;598;69;2;0;0;120;569;0
2489;636;120;3;0;0;0;569;0
2491;569;569;4;0;0;0;0;0
2595;427;42;1;0;70;122;566;0
2597;598;70;2;0;0;122;566;0
2599;635;122;3;0;0;0;566;0
2600;566;566;4;0;0;0;0;0
2704;427;32;1;0;93;130;545;0
2707;608;93;2;0;0;130;545;0
2710;622;130;3;0;0;0;545;0
2712;545;545;4;0;0;0;0;0
2812;427;42;1;0;80;140;538;0
2815;598;80;2;0;0;140;538;0
2817;625;140;3;0;0;0;538;0
2819;538;538;4;0;0;0;0;0
2918;427;37;1;0;81;130;552;0
2921;603;81;2;0;0;130;552;0
2922;629;130;3;0;0;0;552;0
2925;552;552;4;0;0;0;0;0
3028;427;41;1;0;81;116;562;0
3031;599;81;2;0;0;116;562;0
3034;625;116;3;0;0;0;562;0
3035;562;562;4;0;0;0;0;0
3137;427;39;1;0;83;127;551;0
3138;601;83;2;0;0;127;551;0
3140;625;127;3;0;0;0;551;0
3142;551;551;4;0;0;0;0;0
3248;427;37;1;0;79;107;577;0
3250;603;79;2;0;0;107;577;0
3252;631;107;3;0;0;0;577;0
