Timestamp; Pedidos por  Dispatcher; Leidos por Dispatcher; Cola Leida; Quedan Cola P1; Quedan Cola P2; Quedan Cola P3; Quedan Cola P4, Quedan Cola Expirados
41950;170;170;4;0;0;0;0;0
42946;320;159;1;0;145;157;139;0
42951;321;145;2;0;0;157;139;0
42959;256;157;3;0;0;0;139;0
42979;139;139;4;0;0;0;0;0
43953;320;135;1;0;160;163;142;0
43956;345;160;2;0;0;163;142;0
43958;265;163;3;0;0;0;142;0
43960;142;142;4;0;0;0;0;0
44962;320;144;1;0;137;175;144;0
44964;336;137;2;0;0;175;144;0
44966;279;175;3;0;0;0;144;0
44967;144;144;4;0;0;0;0;0
45970;320;147;1;0;148;153;152;0
45991;333;148;2;0;0;153;152;0
45996;265;153;3;0;0;0;152;0
45998;152;152;4;0;0;0;0;0
46977;320;146;1;0;143;164;147;0
46981;334;143;2;0;0;164;147;0
46993;271;164;3;0;0;0;147;0
47002;147;147;4;0;0;0;0;0
47980;320;170;1;0;152;134;144;0
47984;310;152;2;0;0;134;144;0
48000;238;134;3;0;0;0;144;0
48006;144;144;4;0;0;0;0;0
48986;320;149;1;0;162;154;135;0
48996;331;162;2;0;0;154;135;0
49007;249;154;3;0;0;0;135;0
49018;135;135;4;0;0;0;0;0
49999;320;139;1;0;164;162;135;0
50019;341;164;2;0;0;162;135;0
50022;257;162;3;0;0;0;135;0
50025;135;135;4;0;0;0;0;0
51013;320;136;1;0;147;166;151;0
51015;344;147;2;0;0;166;151;0
51017;277;166;3;0;0;0;151;0
51020;151;151;4;0;0;0;0;0
52017;320;143;1;0;157;157;143;0
52020;337;157;2;0;0;157;143;0
52023;260;157;3;0;0;0;143;0
52026;143;143;4;0;0;0;0;0
53027;320;156;1;0;149;146;149;0
53030;324;149;2;0;0;146;149;0
53033;255;146;3;0;0;0;149;0
53036;149;149;4;0;0;0;0;0
54036;320;152;1;0;146;158;144;0
54040;328;146;2;0;0;158;144;0
54048;144;144;4;0;0;0;0;0
54045;262;158;3;0;0;0;144;0
55048;320;143;1;0;149;163;145;0
55049;337;149;2;0;0;163;145;0
55053;268;163;3;0;0;0;145;0
55055;145;145;4;0;0;0;0;0
56063;320;148;1;0;155;163;134;0
56065;332;155;2;0;0;163;134;0
56069;257;163;3;0;0;0;134;0
56072;134;134;4;0;0;0;0;0
57072;320;150;1;0;175;148;127;0
57076;330;175;2;0;0;148;127;0
57085;235;148;3;0;0;0;127;0
57090;127;127;4;0;0;0;0;0
58086;320;152;1;0;145;144;159;0
58090;328;145;2;0;0;144;159;0
58095;263;144;3;0;0;0;159;0
58098;159;159;4;0;0;0;0;0
59100;320;147;1;0;153;152;148;0
59105;333;153;2;0;0;152;148;0
59123;148;148;4;0;0;0;0;0
59111;260;152;3;0;0;0;148;0
60106;320;157;1;0;142;157;144;0
60111;323;142;2;0;0;157;144;0
60116;261;157;3;0;0;0;144;0
60120;144;144;4;0;0;0;0;0
61106;320;168;1;0;154;141;137;0
61109;312;154;2;0;0;141;137;0
61112;238;141;3;0;0;0;137;0
61114;137;137;4;0;0;0;0;0
62109;320;174;1;0;142;151;133;0
62113;306;142;2;0;0;151;133;0
62117;244;151;3;0;0;0;133;0
62119;133;133;4;0;0;0;0;0
63117;320;141;1;0;157;143;159;0
63120;339;157;2;0;0;143;159;0
63129;159;159;4;0;0;0;0;0
63126;262;143;3;0;0;0;159;0
64133;320;152;1;0;145;150;153;0
64146;328;145;2;0;0;150;153;0
64150;263;150;3;0;0;0;153;0
64158;153;153;4;0;0;0;0;0
65140;320;161;1;0;144;148;147;0
65154;255;148;3;0;0;0;147;0
65144;319;144;2;0;0;148;147;0
65168;147;147;4;0;0;0;0;0
66158;320;151;1;0;160;130;159;0
66160;329;160;2;0;0;130;159;0
66168;249;130;3;0;0;0;159;0
66173;159;159;4;0;0;0;0;0
67167;320;138;1;0;149;163;150;0
67171;342;149;2;0;0;163;150;0
67174;273;163;3;0;0;0;150;0
67177;150;150;4;0;0;0;0;0
68181;320;150;1;0;149;163;138;0
68184;330;149;2;0;0;163;138;0
68189;138;138;4;0;0;0;0;0
68186;261;163;3;0;0;0;138;0
69193;320;129;1;0;182;136;153;0
69196;351;182;2;0;0;136;153;0
69198;249;136;3;0;0;0;153;0
69201;153;153;4;0;0;0;0;0
70206;320;134;1;0;155;145;166;0
70208;346;155;2;0;0;145;166;0
70210;271;145;3;0;0;0;166;0
70211;166;166;4;0;0;0;0;0
71207;320;159;1;0;141;155;145;0
71209;321;141;2;0;0;155;145;0
71212;260;155;3;0;0;0;145;0
71214;145;145;4;0;0;0;0;0
72207;320;159;1;0;144;136;161;0
72210;321;144;2;0;0;136;161;0
72212;257;136;3;0;0;0;161;0
72215;161;161;4;0;0;0;0;0
73210;320;157;1;0;159;121;163;0
73212;323;159;2;0;0;121;163;0
73216;244;121;3;0;0;0;163;0
73220;163;163;4;0;0;0;0;0
74219;320;134;1;0;156;147;163;0
74222;346;156;2;0;0;147;163;0
74226;270;147;3;0;0;0;163;0
74228;163;163;4;0;0;0;0;0
75222;320;150;1;0;161;153;136;0
75226;330;161;2;0;0;153;136;0
75230;249;153;3;0;0;0;136;0
75233;136;136;4;0;0;0;0;0
76237;320;150;1;0;125;171;154;0
76241;330;125;2;0;0;171;154;0
76244;285;171;3;0;0;0;154;0
76247;154;154;4;0;0;0;0;0
77249;320;143;1;0;162;137;158;0
77254;337;162;2;0;0;137;158;0
77265;255;137;3;0;0;0;158;0
77269;158;158;4;0;0;0;0;0
78265;320;148;1;0;162;137;153;0
78271;332;162;2;0;0;137;153;0
78276;250;137;3;0;0;0;153;0
78282;153;153;4;0;0;0;0;0
79276;320;149;1;0;145;146;160;0
79283;266;146;3;0;0;0;160;0
79279;331;145;2;0;0;146;160;0
79297;160;160;4;0;0;0;0;0
80286;320;145;1;0;152;151;152;0
80291;335;152;2;0;0;151;152;0
80296;263;151;3;0;0;0;152;0
80301;152;152;4;0;0;0;0;0
81298;320;142;1;0;147;148;163;0
81307;271;148;3;0;0;0;163;0
81303;338;147;2;0;0;148;163;0
81312;163;163;4;0;0;0;0;0
82311;320;97;1;0;149;161;130;63
82315;383;149;2;0;0;161;130;63
82327;314;161;3;0;0;0;130;63
82330;193;130;4;0;0;0;0;63
