Timestamp; Pedidos por  Dispatcher; Leidos por Dispatcher; Cola Leida; Quedan Cola P1; Quedan Cola P2; Quedan Cola P3; Quedan Cola P4, Quedan Cola Expirados
39925;551;551;4;0;0;0;8583;0
40933;533;80;1;0;194;263;9856;0
40934;720;194;2;0;0;263;9856;0
40936;659;263;3;0;0;0;9856;0
40938;463;463;4;0;0;0;9393;0
41937;533;83;1;0;176;284;10642;0
41940;717;176;2;0;0;284;10642;0
41943;674;284;3;0;0;0;10642;0
41945;457;457;4;0;0;0;10185;0
42938;533;64;1;0;154;212;11170;0
42941;736;154;2;0;0;212;11170;0
42944;715;212;3;0;0;0;11170;0
42947;570;570;4;0;0;0;10600;0
43940;533;79;1;0;118;203;11544;0
43943;721;118;2;0;0;203;11544;0
43946;736;203;3;0;0;0;11544;0
43948;600;600;4;0;0;0;10944;0
44955;533;38;1;0;96;131;11591;0
44958;762;96;2;0;0;131;11591;0
44961;799;131;3;0;0;0;11591;0
44963;735;735;4;0;0;0;10856;0
45959;533;68;1;0;141;187;11747;0
45962;732;141;2;0;0;187;11747;0
45965;724;187;3;0;0;0;11747;0
45967;604;604;4;0;0;0;11143;0
46964;533;28;1;0;41;63;11438;0
46966;772;41;2;0;0;63;11438;0
46968;864;63;3;0;0;0;11438;0
46969;868;868;4;0;0;0;10570;0
47977;533;28;1;0;41;77;10895;0
47979;772;41;2;0;0;77;10895;0
47981;864;77;3;0;0;0;10895;0
47982;854;854;4;0;0;0;10041;0
48980;533;77;1;0;145;213;11097;0
48982;723;145;2;0;0;213;11097;0
48984;711;213;3;0;0;0;11097;0
48986;565;565;4;0;0;0;10532;0
49980;533;73;1;0;163;269;11678;0
49983;727;163;2;0;0;269;11678;0
49985;697;269;3;0;0;0;11678;0
49986;495;495;4;0;0;0;11183;0
50988;533;107;1;0;194;295;12587;0
50990;693;194;2;0;0;295;12587;0
50992;632;295;3;0;0;0;12587;0
50995;404;404;4;0;0;0;12183;0
51993;533;119;1;0;206;292;13566;0
51995;681;206;2;0;0;292;13566;0
51998;608;292;3;0;0;0;13566;0
