Timestamp; Solicitados; Recuperados
573;1000;1000;50;99;134;717
1034;1000;1000;56;96;149;699
1550;1000;1000;55;108;158;679
2052;1000;29;0;2;2;25
2559;1000;1000;51;104;127;718
3057;1000;121;3;11;14;93
3573;1000;787;38;80;114;555
4086;1000;0;0;0;0;0
4605;1000;897;42;87;150;618
5105;1000;0;0;0;0;0
5610;1000;687;33;75;114;465
6116;1000;1000;44;98;150;708
6625;1000;1000;35;111;140;714
7129;1000;1000;58;88;164;690
7641;1000;354;13;36;57;248
8143;1000;425;24;41;54;306
8644;1000;362;27;35;44;256
9144;1000;0;0;0;0;0
9649;1000;1000;43;105;145;707
10153;1000;1000;47;95;157;701
10656;1000;660;34;75;118;433
11172;1000;910;57;84;133;636
11685;1000;938;48;102;135;653
12188;1000;932;47;87;142;656
12696;1000;961;41;98;144;678
13206;1000;960;50;101;146;663
13718;1000;388;15;39;65;269
14219;1000;788;45;88;96;559
14724;1000;0;0;0;0;0
15230;1000;888;44;76;161;607
15740;1000;0;0;0;0;0
16246;1000;1000;52;115;150;683
16747;1000;1000;56;98;152;694
17251;1000;1000;42;90;146;722
17762;1000;1000;51;116;142;691
18266;1000;724;30;75;121;498
18774;1000;0;0;0;0;0
19281;1000;380;14;36;59;271
19785;1000;0;0;0;0;0
20292;1000;1000;51;100;164;685
20794;1000;765;37;73;109;546
21307;1000;893;67;98;117;611
21808;1000;0;0;0;0;0
22325;1000;412;21;37;60;294
22823;1000;1000;49;94;159;698
23334;1000;603;32;63;100;408
23832;1000;685;30;85;87;483
24335;1000;639;37;75;90;437
24847;1000;1000;51;99;155;695
25349;1000;1000;43;95;164;698
25864;1000;883;43;97;132;611
26372;1000;359;14;46;49;250
26874;1000;0;0;0;0;0
27376;1000;945;39;97;142;667
27890;1000;0;0;0;0;0
28397;1000;792;38;83;103;568
28900;1000;485;23;39;72;351
29401;1000;0;0;0;0;0
29905;1000;526;21;50;100;355
30408;1000;0;0;0;0;0
30910;1000;319;27;32;40;220
31416;1000;360;19;43;42;256
31920;1000;0;0;0;0;0
32425;1000;482;24;55;65;338
32926;1000;956;41;95;146;674
33438;1000;0;0;0;0;0
33954;1000;1000;45;97;165;693
34458;1000;49;3;1;8;37
34962;1000;1000;49;95;144;712
35469;1000;197;7;21;28;141
35973;1000;1000;38;100;138;724
36482;1000;219;12;25;34;148
36985;1000;877;46;75;133;623
37488;1000;1000;40;104;163;693
37990;1000;1000;55;95;162;688
38496;1000;333;8;39;53;233
38997;1000;958;36;88;128;706
39497;1000;655;29;76;92;458
39997;1000;810;34;93;111;572
40514;1000;1000;46;101;152;701
41013;1000;1000;46;97;159;698
41517;1000;792;37;79;125;551
42016;1000;1000;47;105;144;704
42517;1000;415;17;49;68;281
43019;1000;344;17;31;44;252
43527;1000;1000;62;87;159;692
44038;1000;182;7;20;34;121
44545;1000;730;31;76;97;526
45050;1000;1000;53;106;141;700
45552;1000;287;15;35;46;191
46056;1000;427;28;41;63;295
46560;1000;0;0;0;0;0
47075;1000;471;28;41;77;325
47588;1000;0;0;0;0;0
48092;1000;1000;54;95;147;704
48606;1000;491;23;50;66;352
49107;1000;651;25;69;110;447
49616;1000;1000;48;94;159;699
50122;1000;1000;60;98;149;693
50629;1000;1000;47;96;146;711
51130;1000;1000;65;124;140;671
51635;1000;1000;54;82;152;712
52134;1000;1000;57;104;158;681
52648;1000;210;14;21;22;153
53148;1000;777;42;75;117;543
53659;1000;461;30;49;62;320
54159;1000;0;0;0;0;0
54666;1000;1000;51;109;146;694
55166;1000;313;6;31;61;215
55682;1000;1000;52;116;155;677
56194;1000;182;6;16;34;126
56696;1000;330;15;35;40;240
57195;1000;444;24;45;62;313
57699;1000;409;22;43;57;287
58207;1000;826;48;81;120;577
58708;1000;996;54;103;140;699
59216;1000;0;0;0;0;0
59725;1000;821;34;82;118;587
60227;1000;847;42;76;123;606
60730;1000;0;0;0;0;0
61237;1000;419;22;32;51;314
61742;1000;0;0;0;0;0
62246;1000;459;25;33;79;322
62760;1000;0;0;0;0;0
63264;1000;659;27;56;103;473
63778;1000;374;20;32;48;274
64283;1000;1000;47;107;156;690
64785;1000;679;31;65;109;474
65291;1000;462;33;50;63;316
65792;1000;0;0;0;0;0
66296;1000;416;10;38;67;301
66804;1000;421;20;40;69;292
67304;1000;0;0;0;0;0
67810;1000;918;48;98;144;628
68311;1000;1000;50;110;139;701
68812;1000;1000;46;92;140;722
69322;1000;1000;53;114;154;679
69825;1000;1000;53;101;165;681
70327;1000;654;24;68;106;456
70841;1000;774;35;88;99;552
71346;1000;863;36;77;139;611
71845;1000;0;0;0;0;0
72348;1000;370;14;38;54;264
72863;1000;707;33;74;95;505
73369;1000;1000;68;88;149;695
73869;1000;1000;45;95;158;702
74374;1000;112;5;7;11;89
74875;1000;704;36;77;94;497
75387;1000;1000;46;100;162;692
75898;1000;447;30;40;71;306
76406;1000;0;0;0;0;0
76909;1000;766;45;67;92;562
77411;1000;0;0;0;0;0
77928;1000;604;43;57;98;406
78428;1000;798;39;79;133;547
78941;1000;0;0;0;0;0
79446;1000;478;21;45;71;341
79956;1000;1000;57;90;135;718
80468;1000;1000;58;97;150;695
80966;1000;1000;33;101;149;717
81486;1000;1000;42;97;150;711
81985;1000;1000;58;91;144;707
82488;1000;661;39;63;84;475
82988;1000;461;25;46;62;328
83502;1000;745;44;71;122;508
84014;1000;515;24;41;82;368
84528;1000;477;18;51;79;329
85030;1000;345;21;45;56;223
85534;1000;565;29;48;93;395
86037;1000;0;0;0;0;0
86543;1000;427;21;47;54;305
87043;1000;526;32;34;86;374
87548;1000;631;29;54;92;456
88050;1000;0;0;0;0;0
88557;1000;1000;43;90;165;702
89071;1000;406;20;51;76;259
89577;1000;1000;52;107;130;711
90086;1000;715;27;77;112;499
90590;1000;661;29;76;93;463
91094;1000;0;0;0;0;0
91612;1000;683;39;71;119;454
92111;1000;0;0;0;0;0
92611;1000;861;39;92;152;578
93115;1000;837;47;79;131;580
93627;1000;0;0;0;0;0
94144;1000;541;26;44;84;387
94647;1000;372;26;40;55;251
95149;1000;940;58;112;144;626
95650;1000;0;0;0;0;0
96154;1000;747;40;77;121;509
96659;1000;960;48;92;116;704
97170;1000;1000;41;107;165;687
97682;1000;1000;41;112;136;711
98181;1000;896;45;82;129;640
98682;1000;1000;55;112;159;674
99194;1000;918;45;86;128;659
99706;1000;0;0;0;0;0
100221;1000;763;39;86;124;514
100791;1000;0;0;0;0;0
101294;1000;511;29;40;72;370
101800;1000;770;42;75;110;543
102300;1000;1000;73;90;155;682
102816;1000;1000;41;103;152;704
103318;1000;1000;54;107;140;699
103825;1000;583;17;63;79;424
104330;1000;0;0;0;0;0
104834;1000;909;44;87;148;630
105337;1000;0;0;0;0;0
105853;1000;632;31;75;84;442
106358;1000;1000;52;100;142;706
106860;1000;1000;54;92;163;691
107372;1000;542;35;45;72;390
107879;1000;0;0;0;0;0
108382;1000;984;50;109;144;681
108885;1000;983;55;80;138;710
109384;1000;803;51;96;124;532
109900;1000;990;51;101;160;678
110403;1000;715;30;72;111;502
110905;1000;1000;59;110;154;677
111411;1000;573;32;69;76;396
111913;1000;740;35;78;105;522
112415;1000;0;0;0;0;0
112929;1000;1000;47;101;154;698
113427;1000;1000;63;95;156;686
113927;1000;899;43;77;144;635
114440;1000;0;0;0;0;0
114949;1000;1000;56;116;155;673
115466;1000;875;42;91;131;611
115970;1000;714;46;62;107;499
116470;1000;0;0;0;0;0
116985;1000;1000;57;100;152;691
117497;1000;217;8;31;32;146
118000;1000;906;57;83;116;650
118513;1000;987;47;102;129;709
119012;1000;327;28;33;38;228
119515;1000;0;0;0;0;0
120028;1000;998;52;102;138;706
120528;1000;0;0;0;0;0
