Timestamp; P1 ; PowerPriority; msgPerPriority; Reales Leidos (remainint); Reales recibidos;  P2 ; PowerPriority; msgPerPriority; Reales Leidos (remainint); Reales recibidos; P3 ; PowerPriority; msgPerPriority; Reales Leidos (remainint); Reales recibidos; P4 ; PowerPriority; msgPerPriority; Reales Leidos (remainint); Reales recibidos; Expirados; Solicitados; Leidos; Remaining final
1076;1;1;533;533;161;2;0.5;267;639;303;3;0.25;133;469;441;4;0.125;67;95;95;0;0;0;0
2045;1;1;533;533;51;2;0.5;267;749;106;3;0.25;133;776;129;4;0.125;67;714;714;0;0;0;0
3044;1;1;533;533;41;2;0.5;267;759;91;3;0.25;133;801;128;4;0.125;67;740;740;0;0;0;0
4054;1;1;533;533;42;2;0.5;267;758;87;3;0.25;133;804;150;4;0.125;67;721;721;0;0;0;0
5060;1;1;533;533;33;2;0.5;267;767;75;3;0.25;133;825;114;4;0.125;67;778;778;0;0;0;0
6075;1;1;533;533;79;2;0.5;267;721;209;3;0.25;133;645;290;4;0.125;67;422;422;0;0;0;0
7082;1;1;533;533;58;2;0.5;267;742;124;3;0.25;133;751;221;4;0.125;67;597;597;0;0;0;0
8083;1;1;533;533;37;2;0.5;267;763;76;3;0.25;133;820;98;4;0.125;67;789;789;0;0;0;0
9109;1;1;533;533;27;2;0.5;267;773;105;3;0.25;133;801;145;4;0.125;67;723;723;0;0;0;0
10095;1;1;533;533;90;2;0.5;267;710;95;3;0.25;133;748;275;4;0.125;67;540;540;0;0;0;0
11094;1;1;533;533;91;2;0.5;267;709;159;3;0.25;133;683;133;4;0.125;67;617;617;0;0;0;0
12103;1;1;533;533;95;2;0.5;267;705;189;3;0.25;133;649;277;4;0.125;67;439;439;0;0;0;0
13109;1;1;533;533;91;2;0.5;267;709;199;3;0.25;133;643;290;4;0.125;67;420;420;0;0;0;0
14122;1;1;533;533;60;2;0.5;267;740;127;3;0.25;133;746;161;4;0.125;67;652;652;0;0;0;0
15131;1;1;533;533;44;2;0.5;267;756;76;3;0.25;133;813;161;4;0.125;67;719;719;0;0;0;0
16139;1;1;533;533;52;2;0.5;267;748;115;3;0.25;133;766;150;4;0.125;67;683;683;0;0;0;0
17155;1;1;533;533;98;2;0.5;267;702;188;3;0.25;133;647;298;4;0.125;67;416;416;0;0;0;0
18168;1;1;533;533;81;2;0.5;267;719;191;3;0.25;133;661;263;4;0.125;67;465;465;0;0;0;0
19180;1;1;533;533;14;2;0.5;267;786;36;3;0.25;133;883;59;4;0.125;67;891;891;0;0;0;0
20189;1;1;533;533;51;2;0.5;267;749;100;3;0.25;133;782;164;4;0.125;67;685;685;0;0;0;0
21202;1;1;533;533;104;2;0.5;267;696;171;3;0.25;133;658;226;4;0.125;67;499;499;0;0;0;0
22218;1;1;533;533;21;2;0.5;267;779;37;3;0.25;133;875;60;4;0.125;67;882;882;0;0;0;0
23225;1;1;533;533;81;2;0.5;267;719;157;3;0.25;133;695;259;4;0.125;67;503;503;0;0;0;0
