Timestamp; Q1; Q2; Q3; Q4; Expirados
76576;0;0;0;15027;1210
76910;45;67;92;15589;1210
77412;0;0;0;14793;1210
77582;0;0;0;14793;1210
77929;43;57;98;15199;1210
78429;39;79;133;14944;1210
78582;39;79;133;14944;1210
78942;39;79;133;14944;1210
79448;21;45;71;14536;1210
79589;21;45;71;14536;1210
79958;78;135;206;15254;1210
80469;58;97;150;15368;1210
80592;58;97;150;15368;1210
80967;91;198;299;16085;1210
81487;42;97;150;16384;1210
81591;42;97;150;16384;1210
81986;100;188;294;17091;1210
82489;39;63;84;17148;1210
82594;39;63;84;17148;1210
82989;64;109;146;17476;1210
83504;44;71;122;17303;1210
83609;44;71;122;17303;1210
84015;68;112;204;17671;1210
84529;18;51;79;17384;1210
84632;18;51;79;17101;1493
85032;39;96;135;17324;1493
85535;29;48;93;16989;1493
85627;29;48;93;16989;1493
86038;29;48;93;16989;1493
86544;21;47;54;16464;1493
86633;21;47;54;16464;1493
87045;53;81;140;16838;1493
87550;29;54;92;16568;1493
87638;29;54;92;16568;1493
88051;29;54;92;16568;1493
88558;43;90;165;16445;1493
88670;43;90;165;15860;2078
89072;63;141;241;16119;2078
89579;52;107;130;16275;2078
89679;52;107;130;15750;2603
90088;79;184;242;16249;2603
90591;29;76;93;16217;2603
90673;29;76;93;16160;2660
91096;29;76;93;16160;2660
91614;39;71;119;15812;2660
91670;39;71;119;15812;2660
92113;39;71;119;15812;2660
92612;39;92;152;15619;2660
92674;39;92;152;15619;2660
93116;86;171;283;16199;2660
93629;0;0;0;15739;2660
93709;0;0;0;15231;3168
94146;26;44;84;15618;3168
94648;26;40;55;15023;3168
94692;26;40;55;15023;3168
95151;84;152;199;15649;3168
95651;0;0;0;15084;3168
95701;0;0;0;14895;3357
96155;40;77;121;15404;3357
96660;48;92;116;15346;3357
96706;48;92;116;15326;3377
97172;89;199;281;16013;3377
97683;41;112;136;16293;3377
97707;41;112;136;16293;3377
98182;86;194;265;16933;3377
98683;55;112;159;17152;3377
98714;55;112;159;17085;3444
99195;100;198;287;17744;3444
99707;0;0;0;17329;3444
99710;0;0;0;17329;3444
100222;39;86;124;17843;3444
100788;0;0;0;15160;5376
100792;0;0;0;15160;5376
101295;29;40;72;15530;5376
101718;0;0;0;14671;5376
101801;42;75;110;15214;5376
102301;115;165;265;15896;5376
102719;0;0;0;15441;5376
102818;41;103;152;16145;5376
103319;95;210;292;16844;5376
103749;0;0;0;16056;5761
103826;17;63;79;16480;5761
104332;17;63;79;16480;5761
104741;0;0;0;15560;5840
104835;44;87;148;16190;5840
105338;44;87;148;16190;5840
105742;0;0;0;15469;5840
105855;31;75;84;15911;5840
106359;83;175;226;16617;5840
106746;0;0;0;16101;5840
106862;54;92;163;16792;5840
107373;89;137;235;17182;5840
107751;0;0;0;16643;5840
107880;0;0;0;16643;5840
108383;50;109;144;17324;5840
108760;0;0;0;16609;5858
108886;55;80;138;17319;5858
109385;106;176;262;17851;5858
