Timestamp; Pedidos ; Extraidos; Quedan
1275;600;600;400
2239;600;600;800
3239;600;600;1200
4237;600;600;1600
5245;600;600;2000
6257;600;600;2400
7262;600;600;2800
8264;600;600;3200
9270;600;600;3600
10271;600;600;4000
11270;600;600;4400
12284;600;600;4800
13288;600;600;5200
14297;600;600;5600
15299;600;600;6000
16303;600;600;6400
17318;600;600;6800
18330;600;600;7200
19342;600;600;7600
20354;600;600;8000
21363;600;600;8400
22367;600;600;8800
23372;600;600;9200
24373;600;600;9600
25373;600;600;10000
26383;600;600;10400
27383;600;600;10800
28396;600;600;11200
29399;600;600;11600
30403;600;600;12000
31415;600;600;12400
32418;600;600;12800
33429;600;600;13200
34440;600;600;13600
35451;600;600;14000
36464;600;600;14400
37467;600;600;14800
38473;600;600;15200
39474;600;600;15600
40475;600;600;16000
41478;600;600;16400
42480;600;600;16800
43483;600;600;17200
44496;600;600;17600
45501;600;600;18000
46505;600;600;18400
47506;600;600;18800
48506;600;600;19200
49507;600;600;19600
50515;600;600;20000
51519;600;600;20400
52533;600;600;20800
53543;600;600;21200
54550;600;600;21600
55564;600;600;22000
56578;600;600;22400
57589;600;600;22800
58602;600;600;23200
59610;600;600;23600
60621;600;600;24000
61631;600;600;24400
62632;600;600;24800
63632;600;600;25200
64643;600;600;25600
65648;600;600;26000
66659;600;600;26400
67664;600;600;26800
68669;600;600;27200
69678;600;600;27600
70682;600;600;28000
71686;600;600;28400
72687;600;600;28800
73695;600;600;29200
74705;600;600;29600
75709;600;600;30000
76717;600;600;30400
77718;600;600;30800
78734;600;600;31200
79741;600;600;31600
80742;600;600;32000
81746;600;600;32400
82761;600;600;32800
83769;600;600;33200
84777;600;600;33600
85782;600;600;34000
86790;600;600;34400
87793;600;600;34800
88804;600;600;35200
89815;600;600;35600
90821;600;600;36000
91824;600;600;36400
92826;600;600;36800
93840;600;600;37200
94845;600;600;37600
95851;600;600;38000
96854;600;600;38400
97863;600;600;38800
98872;600;600;39200
99884;600;600;39600
100899;600;600;40000
101902;600;600;40400
102906;600;600;40800
103918;600;600;41200
104925;600;600;41600
105929;600;600;42000
106930;600;600;42400
107938;600;600;42800
108939;600;600;43200
109942;600;600;43600
110949;600;600;44000
111958;600;600;44400
112967;600;600;44800
113980;600;600;45200
114991;600;600;45600
115993;600;600;46000
117006;600;600;46400
118021;600;600;46800
119025;600;600;47200
120027;600;600;47600
121031;600;600;48000
122045;600;600;48400
123045;600;600;48800
124047;600;600;49200
125061;600;600;49600
126064;600;600;50000
127076;600;600;50400
128078;600;600;50800
129083;600;600;51200
130098;600;600;51600
131110;600;600;52000
132123;600;600;52400
133129;600;600;52800
134132;600;600;53200
135140;600;600;53600
136142;600;600;54000
137146;600;600;54400
138150;600;600;54800
139163;600;600;55200
140177;600;600;55600
141191;600;600;56000
142197;600;600;56400
143208;600;600;56800
144223;600;600;57200
145233;600;600;57600
146245;600;600;58000
147260;600;600;58400
148267;600;600;58800
149279;600;600;59200
150282;600;600;59600
151292;600;600;60000
152306;600;600;60400
153311;600;600;60800
154327;600;600;61200
155342;600;600;61600
156354;600;600;62000
157366;600;600;62400
158369;600;600;62800
159373;600;600;63200
160380;600;600;63600
161394;600;600;64000
162396;600;600;64400
163411;600;600;64800
164423;600;600;65200
165431;600;600;65600
166435;600;600;66000
167446;600;600;66400
168447;600;600;66800
169460;600;600;67200
170473;600;600;67600
171479;600;600;68000
172494;600;600;68400
173503;600;600;68800
174510;600;600;69200
175512;600;600;69600
176523;600;600;70000
177530;600;600;70400
178532;600;600;70800
179533;600;600;71200
180548;600;600;71600
181554;600;600;72000
182557;600;600;72400
183557;600;600;72800
184571;600;600;73200
185581;600;600;73600
186587;600;600;74000
187601;600;600;74400
188613;600;600;74800
189625;600;600;75200
190626;600;600;75600
191640;600;600;76000
192652;600;600;76400
193666;600;600;76800
194680;600;600;77200
195687;600;600;77600
196702;600;600;78000
197710;600;600;78400
198725;600;600;78800
199736;600;600;79200
200749;600;600;79600
201758;600;600;80000
202765;600;600;80400
203769;600;600;80800
204777;600;600;81200
205781;600;600;81600
206785;600;600;82000
207786;600;600;82400
208789;600;600;82800
209788;600;600;83200
210802;600;600;83600
211818;600;600;84000
212826;600;600;84400
213835;600;600;84800
214834;600;600;85200
215848;600;600;85600
216853;600;600;86000
217860;600;600;86400
218871;600;600;86800
219875;600;600;87200
220876;600;600;87600
221891;600;600;88000
222904;600;600;88400
223912;600;600;88800
224911;600;600;89200
225920;600;600;89600
226919;600;600;90000
227928;600;600;90400
228943;600;600;90800
229945;600;600;91200
230951;600;600;91600
231964;600;600;92000
232974;600;600;92400
233982;600;600;92800
234986;600;600;93200
235995;600;600;93600
237011;600;600;94000
238021;600;600;94400
239031;600;600;94800
240034;600;600;95200
241048;600;600;95600
242057;600;600;96000
243065;600;600;96400
244065;600;600;96800
245078;600;600;97200
246092;600;600;97600
247093;600;600;98000
248097;600;600;98400
249101;600;600;98800
250110;600;600;99200
251111;600;600;99600
252114;600;600;100000
253116;600;600;100400
254127;600;600;100800
255141;600;600;101200
256148;600;600;101600
257152;600;600;102000
258163;600;600;102400
259163;600;600;102800
260179;600;600;103200
261180;600;600;103600
262193;600;600;104000
263204;600;600;104400
264212;600;600;104800
265220;600;600;105200
266231;600;600;105600
267237;600;600;106000
268244;600;600;106400
269253;600;600;106800
270254;600;600;107200
271268;600;600;107600
272274;600;600;108000
273288;600;600;108400
274291;600;600;108800
275305;600;600;109200
276310;600;600;109600
277318;600;600;110000
278325;600;600;110400
279341;600;600;110800
280349;600;600;111200
281356;600;600;111600
282368;600;600;112000
283368;600;600;112400
284373;600;600;112800
285381;600;600;113200
286382;600;600;113600
287384;600;600;114000
288393;600;600;114400
289399;600;600;114800
290408;600;600;115200
291424;600;600;115600
292431;600;600;116000
293435;600;600;116400
294450;600;600;116800
295458;600;600;117200
296459;600;600;117600
297472;600;600;118000
298481;600;600;118400
299485;600;600;118800
300487;600;600;119200
301501;600;600;119600
302501;600;600;120000
303509;600;600;120400
304520;600;600;120800
305523;600;600;121200
306534;600;600;121600
307534;600;600;122000
308535;600;600;122400
309548;600;600;122800
310554;600;600;123200
311555;600;600;123600
312567;600;600;124000
313578;600;600;124400
314591;600;600;124800
315595;600;600;125200
316597;600;600;125600
317599;600;600;126000
318602;600;600;126400
319605;600;600;126800
320618;600;600;127200
321625;600;600;127600
322627;600;600;128000
323633;600;600;128400
324637;600;600;128800
325641;600;600;129200
326640;600;600;129600
327654;600;600;130000
328657;600;600;130400
329660;600;600;130800
330669;600;600;131200
331676;600;600;131600
332682;600;600;132000
333690;600;600;132400
334701;600;600;132800
335714;600;600;133200
336721;600;600;133600
337729;600;600;134000
338743;600;600;134400
339744;600;600;134800
340754;600;600;135200
341759;600;600;135600
342768;600;600;136000
343776;600;600;136400
344780;600;600;136800
345782;600;600;137200
346795;600;600;137600
347808;600;600;138000
348810;600;600;138400
349816;600;600;138800
350826;600;600;139200
351830;600;600;139600
352832;600;600;140000
353837;600;600;140400
354840;600;600;140356
355849;600;600;139873
356852;600;600;139484
357858;600;600;139132
358867;600;600;138606
359868;600;600;138604
360868;600;600;138188
361872;600;600;137710
362875;600;600;137661
363880;600;600;137241
364881;600;600;137270
365885;600;600;136744
366887;600;600;136327
367902;600;600;135950
368916;600;600;135623
369927;600;600;135732
370932;600;600;135233
371935;600;600;134966
372941;600;600;134598
373942;600;600;134142
374948;600;600;133723
375958;600;600;133264
376960;600;600;132889
377973;600;600;132708
378988;600;600;132270
380001;600;600;132057
381000;600;600;131540
382007;600;600;131169
383007;600;600;130673
384011;600;600;130297
385025;600;600;130182
386038;600;600;129837
387047;600;600;129581
388052;600;600;129205
389054;600;600;128695
390053;600;600;128290
391068;600;600;128023
392073;600;600;127897
393076;600;600;127391
394085;600;600;127088
395095;600;600;126629
396109;600;600;126163
397117;600;600;126049
398131;600;600;125533
399134;600;600;125164
400148;600;600;124762
401148;600;600;124638
402152;600;600;124254
403166;600;600;124415
404177;600;600;123896
405183;600;600;123741
406192;600;600;123413
407206;600;600;122971
408221;600;600;122732
409234;600;600;122257
410240;600;600;121997
411248;600;600;121575
412253;600;600;121420
413258;600;600;120907
414268;600;600;120657
415268;600;600;120141
416282;600;600;119695
417297;600;600;119671
418302;600;600;119305
419310;600;600;119259
420316;600;600;119187
421329;600;600;118654
422331;600;600;118251
423337;600;600;117723
424339;600;600;117233
425341;600;600;117152
426348;600;600;117071
427358;600;600;116911
428368;600;600;116502
429370;600;600;116325
430379;600;600;115811
431380;600;600;115495
432381;600;600;115047
433385;600;600;114637
434401;600;600;114167
435407;600;600;113910
436411;600;600;113495
437415;600;600;113009
438430;600;600;112837
439435;600;600;112854
440450;600;600;112792
441451;600;600;112392
442465;600;600;112310
443476;600;600;111897
444480;600;600;111570
445484;600;600;111245
446487;600;600;110873
447489;600;600;110687
448491;600;600;110410
449491;600;600;110002
450496;600;600;109734
451508;600;600;109431
452513;600;600;109018
453526;600;600;108829
454532;600;600;108494
455534;600;600;107977
456534;600;600;107750
457540;600;600;107421
458546;600;600;106978
459551;600;600;106598
460557;600;600;106315
461571;600;600;106028
462587;600;600;105712
